NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
312,12,1621590135662,14.67,27.84,18,102,65,74,PEN_DOWN
312,12,1621590135686,14.64,27.87,14,103,65,137,PEN_MOVE
312,12,1621590135718,14.62,27.89,14,103,65,524,PEN_MOVE
312,12,1621590135742,14.63,27.88,15,104,65,710,PEN_MOVE
312,12,1621590135778,14.64,27.83,15,103,66,742,PEN_MOVE
312,12,1621590135789,14.66,27.78,15,104,66,758,PEN_MOVE
312,12,1621590135799,14.69,27.73,17,104,66,768,PEN_MOVE
312,12,1621590135811,14.75,27.66,14,103,66,771,PEN_MOVE
312,12,1621590135822,14.81,27.59,15,104,66,777,PEN_MOVE
312,12,1621590135834,14.89,27.51,16,103,66,779,PEN_MOVE
312,12,1621590135845,14.97,27.44,19,106,66,782,PEN_MOVE
312,12,1621590135858,15.02,27.39,19,105,66,784,PEN_MOVE
312,12,1621590135870,15.07,27.34,19,106,66,783,PEN_MOVE
312,12,1621590135881,15.11,27.27,15,103,66,782,PEN_MOVE
312,12,1621590135893,15.17,27.2,17,106,66,780,PEN_MOVE
312,12,1621590135904,15.23,27.13,16,106,66,788,PEN_MOVE
312,12,1621590135916,15.29,27.05,16,103,66,795,PEN_MOVE
312,12,1621590135927,15.36,26.95,14,103,66,801,PEN_MOVE
312,12,1621590135938,15.44,26.83,14,102,66,802,PEN_MOVE
312,12,1621590135951,15.5,26.72,14,103,66,805,PEN_MOVE
312,12,1621590135961,15.57,26.62,15,103,66,808,PEN_MOVE
312,12,1621590135972,15.63,26.53,14,103,66,811,PEN_MOVE
312,12,1621590135984,15.67,26.45,15,103,66,813,PEN_MOVE
312,12,1621590135996,15.71,26.36,17,103,66,814,PEN_MOVE
312,12,1621590136008,15.75,26.28,16,103,66,814,PEN_MOVE
312,12,1621590136020,15.79,26.21,16,103,66,813,PEN_MOVE
312,12,1621590136032,15.81,26.16,15,103,67,813,PEN_MOVE
312,12,1621590136042,15.83,26.11,16,103,67,815,PEN_MOVE
312,12,1621590136054,15.86,26.05,13,103,67,816,PEN_MOVE
312,12,1621590136066,15.9,25.94,17,103,67,815,PEN_MOVE
312,12,1621590136077,15.95,25.8,14,104,67,814,PEN_MOVE
312,12,1621590136089,16,25.69,14,103,67,812,PEN_MOVE
312,12,1621590136123,16.12,25.4,13,103,67,812,PEN_MOVE
312,12,1621590136146,16.22,25.25,10,102,67,811,PEN_MOVE
312,12,1621590136158,16.26,25.19,8,102,67,809,PEN_MOVE
312,12,1621590136169,16.28,25.13,8,106,67,809,PEN_MOVE
312,12,1621590136182,16.3,25.09,8,102,67,810,PEN_MOVE
