NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,15,1621581664631,7.57,12.2,75,110,67,803,PEN_DOWN
310,15,1621581664642,7.61,12.09,76,107,67,823,PEN_MOVE
310,15,1621581664655,7.65,11.88,75,107,67,826,PEN_MOVE
310,15,1621581664667,7.68,11.7,72,108,67,826,PEN_MOVE
310,15,1621581664678,7.69,11.59,70,108,67,827,PEN_MOVE
310,15,1621581664690,7.7,11.47,71,107,67,827,PEN_MOVE
310,15,1621581664701,7.74,11.29,72,107,67,828,PEN_MOVE
310,15,1621581664712,7.8,11.08,70,107,67,831,PEN_MOVE
310,15,1621581664724,7.84,10.9,67,107,67,833,PEN_MOVE
310,15,1621581664735,7.86,10.77,69,107,67,840,PEN_MOVE
310,15,1621581664748,7.87,10.65,70,107,67,845,PEN_MOVE
310,15,1621581664759,7.87,10.52,70,107,67,852,PEN_MOVE
310,15,1621581664770,7.88,10.36,71,107,67,852,PEN_MOVE
310,15,1621581664782,7.88,10.23,69,107,68,852,PEN_MOVE
310,15,1621581664793,7.88,10.16,70,107,68,852,PEN_MOVE
310,15,1621581664805,7.87,10.1,73,108,68,852,PEN_MOVE
310,15,1621581664817,7.87,10,68,107,68,852,PEN_MOVE
310,15,1621581664828,7.87,9.9,65,108,68,852,PEN_MOVE
310,15,1621581664839,7.85,9.81,68,108,68,852,PEN_MOVE
310,15,1621581664850,7.81,9.69,67,108,68,852,PEN_MOVE
310,15,1621581664863,7.77,9.57,66,108,68,852,PEN_MOVE
310,15,1621581664875,7.73,9.47,65,109,68,852,PEN_MOVE
310,15,1621581664886,7.7,9.36,65,109,68,852,PEN_MOVE
310,15,1621581664897,7.69,9.26,66,109,68,852,PEN_MOVE
310,15,1621581664909,7.68,9.19,65,109,68,852,PEN_MOVE
310,15,1621581664920,7.67,9.16,66,109,68,852,PEN_MOVE
310,15,1621581664944,7.66,9.12,67,110,68,852,PEN_MOVE
310,15,1621581664956,7.66,9.08,67,110,68,852,PEN_MOVE
310,15,1621581664966,7.65,9.04,65,109,68,852,PEN_MOVE
310,15,1621581664977,7.65,9.01,65,110,68,852,PEN_MOVE
310,15,1621581664990,7.65,8.99,69,107,68,852,PEN_MOVE
310,15,1621581665128,7.65,9,65,109,68,852,PEN_MOVE
310,15,1621581665174,7.7,9.03,68,110,68,852,PEN_MOVE
310,15,1621581665185,7.79,9.06,65,110,68,852,PEN_MOVE
310,15,1621581665197,7.88,9.09,66,110,68,852,PEN_MOVE
310,15,1621581665209,8.02,9.15,68,109,68,852,PEN_MOVE
310,15,1621581665221,8.17,9.22,68,109,68,852,PEN_MOVE
310,15,1621581665232,8.28,9.29,70,109,68,852,PEN_MOVE
310,15,1621581665244,8.38,9.36,68,108,68,852,PEN_MOVE
310,15,1621581665255,8.5,9.43,67,108,68,852,PEN_MOVE
310,15,1621581665267,8.62,9.51,66,108,68,852,PEN_MOVE
310,15,1621581665279,8.73,9.6,65,108,68,851,PEN_MOVE
310,15,1621581665291,8.85,9.69,67,108,68,852,PEN_MOVE
310,15,1621581665301,8.98,9.77,66,107,68,852,PEN_MOVE
310,15,1621581665313,9.07,9.83,63,107,68,852,PEN_MOVE
310,15,1621581665325,9.15,9.87,64,107,68,852,PEN_MOVE
310,15,1621581665337,9.23,9.91,63,106,68,852,PEN_MOVE
310,15,1621581665348,9.32,9.94,63,106,68,852,PEN_MOVE
310,15,1621581665360,9.39,9.96,67,105,68,852,PEN_MOVE
310,15,1621581665371,9.45,9.99,67,105,68,852,PEN_MOVE
310,15,1621581665382,9.49,10.01,66,106,68,852,PEN_MOVE
310,15,1621581665394,9.52,10.02,65,106,68,852,PEN_MOVE
310,15,1621581665406,9.55,10.03,66,106,68,852,PEN_MOVE
310,15,1621581665440,9.58,10.03,63,105,68,852,PEN_MOVE
310,15,1621581665544,9.59,9.99,61,106,68,786,PEN_MOVE
310,15,1621581665556,9.59,9.9,61,105,68,683,PEN_MOVE
310,15,1621581665567,9.58,9.78,63,106,68,246,PEN_MOVE
310,15,1621581665579,9.57,9.69,65,109,68,113,PEN_MOVE
310,15,1621581665590,9.63,9.67,59,109,68,18,PEN_MOVE
310,15,1621581665590,9.63,9.67,59,109,68,18,PEN_UP
310,15,1621581665871,7.77,10.85,64,109,68,78,PEN_DOWN
310,15,1621581665882,7.73,10.85,62,111,68,103,PEN_MOVE
310,15,1621581665905,7.7,10.83,65,109,68,222,PEN_MOVE
310,15,1621581665917,7.68,10.82,65,107,68,589,PEN_MOVE
310,15,1621581665929,7.68,10.81,66,107,68,787,PEN_MOVE
310,15,1621581665951,7.67,10.78,62,107,68,820,PEN_MOVE
310,15,1621581665986,7.71,10.75,61,108,68,852,PEN_MOVE
310,15,1621581666010,7.77,10.74,63,108,68,852,PEN_MOVE
310,15,1621581666021,7.82,10.74,61,107,68,852,PEN_MOVE
310,15,1621581666032,7.87,10.75,64,108,68,852,PEN_MOVE
310,15,1621581666045,7.91,10.76,63,107,68,852,PEN_MOVE
310,15,1621581666056,7.96,10.78,62,107,68,852,PEN_MOVE
310,15,1621581666067,8.03,10.8,63,107,68,852,PEN_MOVE
310,15,1621581666079,8.12,10.82,62,108,67,852,PEN_MOVE
310,15,1621581666090,8.23,10.84,61,108,67,852,PEN_MOVE
310,15,1621581666102,8.37,10.85,64,106,68,829,PEN_MOVE
310,15,1621581666113,8.48,10.85,64,107,67,792,PEN_MOVE
310,15,1621581666126,8.59,10.85,63,107,67,663,PEN_MOVE
310,15,1621581666137,8.63,10.85,61,107,67,215,PEN_MOVE
310,15,1621581666160,8.73,10.94,63,109,67,3,PEN_MOVE
310,15,1621581666160,8.73,10.94,63,109,67,3,PEN_UP
310,15,1621581667716,10.91,10.07,15,111,67,62,PEN_DOWN
310,15,1621581667738,10.83,10.02,0,109,67,203,PEN_MOVE
310,15,1621581667762,10.76,9.97,11,108,68,323,PEN_MOVE
310,15,1621581667773,10.72,9.95,0,108,68,743,PEN_MOVE
310,15,1621581667843,10.75,9.94,8,107,68,818,PEN_MOVE
310,15,1621581667889,10.77,9.99,10,106,68,847,PEN_MOVE
310,15,1621581667901,10.77,10.06,8,106,68,852,PEN_MOVE
310,15,1621581667912,10.77,10.21,12,106,68,852,PEN_MOVE
310,15,1621581667924,10.78,10.41,14,106,68,852,PEN_MOVE
310,15,1621581667936,10.78,10.58,14,106,68,852,PEN_MOVE
310,15,1621581667946,10.78,10.75,15,106,68,852,PEN_MOVE
310,15,1621581667959,10.79,10.93,18,107,68,852,PEN_MOVE
310,15,1621581667970,10.79,11.07,17,106,67,852,PEN_MOVE
310,15,1621581667981,10.81,11.22,19,108,67,852,PEN_MOVE
310,15,1621581667993,10.83,11.33,21,108,68,852,PEN_MOVE
310,15,1621581668004,10.85,11.44,21,108,67,852,PEN_MOVE
310,15,1621581668016,10.87,11.61,25,108,67,852,PEN_MOVE
310,15,1621581668028,10.9,11.81,24,108,67,852,PEN_MOVE
310,15,1621581668039,10.93,12.08,25,108,67,852,PEN_MOVE
310,15,1621581668051,10.97,12.29,30,107,67,852,PEN_MOVE
310,15,1621581668062,10.98,12.41,29,108,67,852,PEN_MOVE
310,15,1621581668073,11.01,12.47,28,106,67,852,PEN_MOVE
310,15,1621581668098,11.04,12.5,28,107,67,852,PEN_MOVE
310,15,1621581668236,11.07,12.5,36,107,67,852,PEN_MOVE
310,15,1621581668282,11.13,12.49,57,107,67,852,PEN_MOVE
310,15,1621581668293,11.25,12.48,61,107,67,852,PEN_MOVE
310,15,1621581668305,11.39,12.47,62,109,67,852,PEN_MOVE
310,15,1621581668316,11.61,12.46,61,107,67,852,PEN_MOVE
310,15,1621581668328,11.9,12.42,60,105,67,852,PEN_MOVE
310,15,1621581668339,12.18,12.33,61,105,67,852,PEN_MOVE
310,15,1621581668352,12.42,12.24,59,105,67,852,PEN_MOVE
310,15,1621581668363,12.56,12.19,62,107,67,852,PEN_MOVE
310,15,1621581668374,12.62,12.17,62,108,67,852,PEN_MOVE
310,15,1621581668478,12.65,12.16,66,108,67,852,PEN_MOVE
310,15,1621581668651,12.65,12.15,61,105,67,206,PEN_MOVE
310,15,1621581668651,12.65,12.15,61,105,67,206,PEN_UP
310,15,1621581669595,14.16,10.51,66,106,67,60,PEN_DOWN
310,15,1621581669618,14.12,10.51,64,105,67,107,PEN_MOVE
310,15,1621581669630,14.05,10.51,63,107,67,173,PEN_MOVE
310,15,1621581669642,13.98,10.53,62,104,67,404,PEN_MOVE
310,15,1621581669654,13.91,10.57,61,105,67,702,PEN_MOVE
310,15,1621581669664,13.83,10.63,66,105,67,788,PEN_MOVE
310,15,1621581669676,13.79,10.69,66,104,67,815,PEN_MOVE
310,15,1621581669699,13.76,10.73,64,104,67,847,PEN_MOVE
310,15,1621581669756,13.74,10.76,64,105,67,852,PEN_MOVE
310,15,1621581669768,13.73,10.79,65,106,67,852,PEN_MOVE
310,15,1621581669780,13.7,10.89,66,106,67,852,PEN_MOVE
310,15,1621581669791,13.67,11.09,66,106,67,852,PEN_MOVE
310,15,1621581669803,13.64,11.25,67,106,67,852,PEN_MOVE
310,15,1621581669814,13.6,11.41,65,106,67,852,PEN_MOVE
310,15,1621581669826,13.58,11.56,67,106,67,852,PEN_MOVE
310,15,1621581669837,13.57,11.66,67,106,67,852,PEN_MOVE
310,15,1621581669850,13.56,11.76,66,106,67,852,PEN_MOVE
310,15,1621581669861,13.56,11.87,65,106,67,852,PEN_MOVE
310,15,1621581669872,13.56,12.02,65,106,67,852,PEN_MOVE
310,15,1621581669883,13.56,12.16,66,106,67,852,PEN_MOVE
310,15,1621581669896,13.58,12.29,66,106,67,852,PEN_MOVE
310,15,1621581669907,13.6,12.43,66,106,67,852,PEN_MOVE
310,15,1621581669919,13.65,12.57,67,106,67,852,PEN_MOVE
310,15,1621581669930,13.73,12.69,67,105,67,852,PEN_MOVE
310,15,1621581669942,13.78,12.76,65,106,67,852,PEN_MOVE
310,15,1621581669953,13.84,12.85,67,106,67,852,PEN_MOVE
310,15,1621581669964,13.9,12.91,68,105,67,852,PEN_MOVE
310,15,1621581669976,13.96,12.95,70,106,67,852,PEN_MOVE
310,15,1621581669989,14.04,12.99,71,106,67,852,PEN_MOVE
310,15,1621581669999,14.11,13.01,70,106,67,852,PEN_MOVE
310,15,1621581670011,14.19,13.01,68,105,67,852,PEN_MOVE
310,15,1621581670023,14.27,12.99,68,105,67,852,PEN_MOVE
310,15,1621581670034,14.32,12.96,68,106,67,852,PEN_MOVE
310,15,1621581670046,14.39,12.88,68,106,67,852,PEN_MOVE
310,15,1621581670058,14.47,12.75,66,106,67,852,PEN_MOVE
310,15,1621581670069,14.54,12.62,68,106,67,852,PEN_MOVE
