NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,20,1624602176408,19.14,18.94,107,57,65,409,PEN_DOWN
310,20,1624602176444,19.14,19,106,58,66,539,PEN_MOVE
310,20,1624602176456,19.13,19.17,107,59,66,572,PEN_MOVE
310,20,1624602176467,19.08,19.53,108,58,66,607,PEN_MOVE
310,20,1624602176477,18.95,19.95,107,58,66,620,PEN_MOVE
310,20,1624602176488,18.76,20.48,108,59,66,634,PEN_MOVE
310,20,1624602176500,18.53,21.03,107,60,66,644,PEN_MOVE
310,20,1624602176513,18.32,21.64,107,64,66,655,PEN_MOVE
310,20,1624602176524,18.07,22.41,106,62,66,661,PEN_MOVE
310,20,1624602176537,17.86,23.14,106,65,66,661,PEN_MOVE
310,20,1624602176547,17.7,23.7,106,67,67,660,PEN_MOVE
310,20,1624602176558,17.59,24.16,108,68,66,655,PEN_MOVE
310,20,1624602176569,17.46,24.49,108,77,67,653,PEN_MOVE
310,20,1624602176582,17.42,24.69,108,70,66,641,PEN_MOVE
310,20,1624602176593,17.39,24.77,106,69,66,615,PEN_MOVE
310,20,1624602176617,17.38,24.75,107,73,66,420,PEN_MOVE
310,20,1624602176629,17.37,24.51,107,68,66,148,PEN_MOVE
310,20,1624602176629,17.37,24.51,107,68,66,148,PEN_UP
310,20,1624602176818,18.79,18.81,105,66,67,432,PEN_DOWN
310,20,1624602176829,18.82,18.84,105,65,67,497,PEN_MOVE
310,20,1624602176854,18.88,18.91,105,66,67,571,PEN_MOVE
310,20,1624602176865,18.93,19.03,106,65,67,590,PEN_MOVE
310,20,1624602176877,19.07,19.27,106,66,67,606,PEN_MOVE
310,20,1624602176888,19.22,19.53,106,65,67,609,PEN_MOVE
310,20,1624602176899,19.35,19.82,107,68,67,614,PEN_MOVE
310,20,1624602176910,19.54,20.17,106,73,67,637,PEN_MOVE
310,20,1624602176921,19.77,20.62,105,79,67,645,PEN_MOVE
310,20,1624602176934,19.92,21.15,106,82,67,659,PEN_MOVE
310,20,1624602176946,20.09,21.71,106,89,67,670,PEN_MOVE
310,20,1624602176958,20.27,22.27,105,93,67,673,PEN_MOVE
310,20,1624602176969,20.44,22.82,105,93,67,679,PEN_MOVE
310,20,1624602176980,20.6,23.37,105,102,67,682,PEN_MOVE
310,20,1624602176992,20.74,23.82,109,104,67,682,PEN_MOVE
310,20,1624602177003,20.87,24.2,108,104,67,680,PEN_MOVE
310,20,1624602177015,20.95,24.51,105,113,67,677,PEN_MOVE
310,20,1624602177027,21.04,24.77,109,103,67,676,PEN_MOVE
310,20,1624602177039,21.09,25,108,114,67,677,PEN_MOVE
310,20,1624602177050,21.11,25.19,108,115,67,659,PEN_MOVE
310,20,1624602177060,21.11,25.28,108,115,67,601,PEN_MOVE
310,20,1624602177084,21.01,25.22,108,112,67,156,PEN_MOVE
310,20,1624602177084,21.01,25.22,108,112,67,156,PEN_UP
310,20,1624602177353,16.75,20.98,109,84,67,377,PEN_DOWN
310,20,1624602177364,16.78,21.01,109,88,67,403,PEN_MOVE
310,20,1624602177377,16.89,21.05,109,89,67,457,PEN_MOVE
310,20,1624602177388,17.05,21.12,107,88,67,483,PEN_MOVE
310,20,1624602177401,17.27,21.25,108,100,68,520,PEN_MOVE
310,20,1624602177411,17.52,21.38,108,94,68,531,PEN_MOVE
310,20,1624602177422,17.75,21.51,109,104,68,560,PEN_MOVE
310,20,1624602177435,17.94,21.64,107,115,68,576,PEN_MOVE
310,20,1624602177446,18.18,21.76,109,126,68,600,PEN_MOVE
310,20,1624602177457,18.5,21.85,108,126,68,604,PEN_MOVE
310,20,1624602177468,18.81,21.89,109,127,68,613,PEN_MOVE
310,20,1624602177480,19.15,21.91,109,128,68,637,PEN_MOVE
310,20,1624602177492,19.52,21.92,110,126,68,641,PEN_MOVE
310,20,1624602177504,19.88,21.92,111,128,68,643,PEN_MOVE
310,20,1624602177517,20.22,21.94,109,127,68,682,PEN_MOVE
310,20,1624602177528,20.49,21.96,107,125,68,679,PEN_MOVE
