NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
312,30,1624612912684,13.11,10.82,76,64,25,143,PEN_DOWN
312,30,1624612912709,13.13,10.8,77,64,25,361,PEN_MOVE
312,30,1624612912719,13.15,10.77,77,65,25,428,PEN_MOVE
312,30,1624612912730,13.16,10.73,76,63,25,487,PEN_MOVE
312,30,1624612912741,13.18,10.66,77,61,25,530,PEN_MOVE
312,30,1624612912754,13.21,10.57,77,63,25,565,PEN_MOVE
312,30,1624612912765,13.23,10.49,76,64,25,586,PEN_MOVE
312,30,1624612912777,13.25,10.39,76,63,25,593,PEN_MOVE
312,30,1624612912789,13.27,10.25,75,66,25,604,PEN_MOVE
312,30,1624612912800,13.31,10.05,75,66,25,625,PEN_MOVE
312,30,1624612912813,13.36,9.87,75,64,25,625,PEN_MOVE
312,30,1624612912824,13.39,9.63,69,67,26,628,PEN_MOVE
312,30,1624612912835,13.45,9.37,75,67,26,633,PEN_MOVE
312,30,1624612912848,13.52,9.12,75,67,26,633,PEN_MOVE
312,30,1624612912861,13.6,8.86,75,67,26,637,PEN_MOVE
312,30,1624612912870,13.69,8.59,75,67,26,639,PEN_MOVE
312,30,1624612912880,13.79,8.33,75,67,26,643,PEN_MOVE
312,30,1624612912894,13.9,8.06,69,65,26,643,PEN_MOVE
312,30,1624612912905,14,7.86,75,65,26,641,PEN_MOVE
312,30,1624612912917,14.1,7.64,75,68,26,643,PEN_MOVE
312,30,1624612912928,14.18,7.44,69,69,26,645,PEN_MOVE
312,30,1624612912940,14.24,7.33,69,72,26,648,PEN_MOVE
312,30,1624612912951,14.27,7.27,75,70,26,656,PEN_MOVE
312,30,1624612912965,14.3,7.23,75,74,26,658,PEN_MOVE
312,30,1624612912986,14.32,7.2,75,73,26,656,PEN_MOVE
312,30,1624612913077,14.36,7.26,76,73,26,669,PEN_MOVE
312,30,1624612913087,14.41,7.43,75,73,26,671,PEN_MOVE
312,30,1624612913101,14.53,7.67,75,72,26,669,PEN_MOVE
312,30,1624612913111,14.69,7.98,77,72,26,666,PEN_MOVE
312,30,1624612913125,14.81,8.32,75,71,26,665,PEN_MOVE
