NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,33,1624604429303,20.08,6.65,109,56,69,414,PEN_DOWN
310,33,1624604429314,20.05,6.65,108,59,69,453,PEN_MOVE
310,33,1624604429465,20.06,6.68,110,57,69,497,PEN_MOVE
310,33,1624604429477,20.07,6.81,110,59,69,497,PEN_MOVE
310,33,1624604429489,20.1,6.99,108,57,69,499,PEN_MOVE
310,33,1624604429500,20.11,7.1,110,59,69,499,PEN_MOVE
310,33,1624604429512,20.11,7.2,106,59,69,499,PEN_MOVE
310,33,1624604429523,20.12,7.32,110,62,69,502,PEN_MOVE
310,33,1624604429535,20.12,7.45,110,64,69,562,PEN_MOVE
310,33,1624604429546,20.11,7.6,110,63,69,565,PEN_MOVE
310,33,1624604429557,20.07,7.75,109,64,69,566,PEN_MOVE
310,33,1624604429570,20.01,7.94,108,61,69,569,PEN_MOVE
310,33,1624604429581,19.94,8.12,110,63,69,566,PEN_MOVE
310,33,1624604429593,19.9,8.27,108,61,69,564,PEN_MOVE
310,33,1624604429605,19.88,8.41,108,63,69,562,PEN_MOVE
310,33,1624604429615,19.87,8.5,108,61,69,562,PEN_MOVE
310,33,1624604429626,19.86,8.59,108,62,69,563,PEN_MOVE
310,33,1624604429637,19.86,8.67,108,64,68,564,PEN_MOVE
310,33,1624604429650,19.86,8.75,109,64,68,562,PEN_MOVE
310,33,1624604429661,19.86,8.79,109,63,68,559,PEN_MOVE
310,33,1624604429685,19.86,8.82,109,63,68,560,PEN_MOVE
310,33,1624604429744,19.89,8.83,110,61,68,562,PEN_MOVE
310,33,1624604429812,19.9,8.73,110,63,68,543,PEN_MOVE
310,33,1624604429825,19.93,8.46,110,61,68,421,PEN_MOVE
310,33,1624604429836,20.04,8.17,109,62,68,50,PEN_MOVE
310,33,1624604429836,20.04,8.17,109,62,68,50,PEN_UP
310,33,1624604430119,19.92,6.57,109,58,69,325,PEN_DOWN
310,33,1624604430248,19.95,6.58,110,59,69,492,PEN_MOVE
310,33,1624604430340,19.98,6.6,110,60,69,490,PEN_MOVE
310,33,1624604430352,20.01,6.62,110,61,69,488,PEN_MOVE
310,33,1624604430363,20.09,6.66,110,59,69,489,PEN_MOVE
310,33,1624604430373,20.21,6.74,106,59,69,490,PEN_MOVE
310,33,1624604430384,20.32,6.82,107,62,69,491,PEN_MOVE
310,33,1624604430396,20.44,6.9,107,61,69,492,PEN_MOVE
310,33,1624604430409,20.54,6.98,110,60,69,491,PEN_MOVE
310,33,1624604430420,20.65,7.04,106,62,69,490,PEN_MOVE
310,33,1624604430432,20.71,7.08,109,61,69,491,PEN_MOVE
310,33,1624604430444,20.84,7.09,109,62,69,556,PEN_MOVE
310,33,1624604430456,20.98,7.09,110,62,69,555,PEN_MOVE
310,33,1624604430467,21.12,7.08,109,61,69,558,PEN_MOVE
310,33,1624604430477,21.24,7.06,108,62,69,562,PEN_MOVE
310,33,1624604430488,21.35,7.05,108,63,69,562,PEN_MOVE
310,33,1624604430500,21.43,7.05,109,62,69,560,PEN_MOVE
310,33,1624604430513,21.47,7.05,109,64,69,562,PEN_MOVE
310,33,1624604430557,21.5,7.05,109,64,69,623,PEN_MOVE
310,33,1624604430708,21.47,7.05,110,61,69,430,PEN_MOVE
310,33,1624604430719,21.45,7.04,110,61,69,33,PEN_MOVE
310,33,1624604430719,21.45,7.04,110,61,69,33,PEN_UP
310,33,1624604431013,19.99,8.02,107,62,69,422,PEN_DOWN
310,33,1624604431024,20,8.02,107,63,69,398,PEN_MOVE
310,33,1624604431081,20.03,8.03,108,64,69,545,PEN_MOVE
310,33,1624604431140,20.06,8.03,111,64,69,597,PEN_MOVE
310,33,1624604431185,20.1,8.04,110,66,69,592,PEN_MOVE
310,33,1624604431208,20.15,8.05,109,64,69,591,PEN_MOVE
310,33,1624604431219,20.21,8.05,109,64,69,592,PEN_MOVE
310,33,1624604431233,20.27,8.07,109,64,69,593,PEN_MOVE
310,33,1624604431244,20.35,8.09,109,64,69,591,PEN_MOVE
310,33,1624604431267,20.47,8.12,108,65,68,589,PEN_MOVE
310,33,1624604431278,20.53,8.14,107,64,68,590,PEN_MOVE
310,33,1624604431300,20.58,8.15,107,65,69,593,PEN_MOVE
310,33,1624604431313,20.62,8.15,108,65,68,592,PEN_MOVE
310,33,1624604431324,20.69,8.15,107,63,69,590,PEN_MOVE
310,33,1624604431337,20.76,8.14,108,64,69,589,PEN_MOVE
310,33,1624604431347,20.81,8.13,108,64,69,591,PEN_MOVE
310,33,1624604431359,20.89,8.11,108,64,69,592,PEN_MOVE
310,33,1624604431370,20.95,8.09,108,64,69,592,PEN_MOVE
310,33,1624604431394,20.98,8.06,108,65,69,590,PEN_MOVE
310,33,1624604431473,21,8.05,108,63,69,631,PEN_MOVE
310,33,1624604431544,20.99,8.05,108,65,69,631,PEN_MOVE
310,33,1624604431578,21,7.98,107,64,69,586,PEN_MOVE
310,33,1624604431590,21.16,7.58,108,63,69,390,PEN_MOVE
310,33,1624604431601,21.46,7.27,109,63,69,5,PEN_MOVE
310,33,1624604431601,21.46,7.27,109,63,69,5,PEN_UP
310,33,1624604431857,22.06,6.82,109,67,69,367,PEN_DOWN
310,33,1624604431868,21.99,6.87,109,65,69,429,PEN_MOVE
310,33,1624604431879,21.92,6.89,109,67,69,445,PEN_MOVE
310,33,1624604432040,21.93,6.92,110,69,69,585,PEN_MOVE
310,33,1624604432064,21.94,6.97,111,67,69,584,PEN_MOVE
310,33,1624604432076,21.94,7.02,110,70,69,585,PEN_MOVE
310,33,1624604432088,21.95,7.1,110,70,69,586,PEN_MOVE
310,33,1624604432099,21.95,7.19,111,69,69,585,PEN_MOVE
310,33,1624604432111,21.96,7.27,110,68,69,583,PEN_MOVE
310,33,1624604432122,21.98,7.43,109,68,69,582,PEN_MOVE
310,33,1624604432132,22,7.52,110,71,69,582,PEN_MOVE
310,33,1624604432144,22.02,7.58,110,71,69,585,PEN_MOVE
310,33,1624604432156,22.05,7.67,110,70,69,584,PEN_MOVE
310,33,1624604432169,22.07,7.77,110,73,69,584,PEN_MOVE
310,33,1624604432180,22.08,7.87,110,74,69,582,PEN_MOVE
310,33,1624604432192,22.1,7.95,110,74,69,581,PEN_MOVE
310,33,1624604432204,22.1,8,111,73,69,581,PEN_MOVE
310,33,1624604432216,22.11,8.03,110,74,69,583,PEN_MOVE
310,33,1624604432227,22.13,8.07,111,72,69,583,PEN_MOVE
310,33,1624604432237,22.15,8.1,110,73,69,582,PEN_MOVE
310,33,1624604432248,22.17,8.15,110,72,69,581,PEN_MOVE
310,33,1624604432260,22.19,8.21,110,73,69,579,PEN_MOVE
310,33,1624604432273,22.23,8.29,109,71,69,581,PEN_MOVE
310,33,1624604432284,22.29,8.38,110,70,69,583,PEN_MOVE
310,33,1624604432296,22.35,8.5,109,72,69,583,PEN_MOVE
310,33,1624604432306,22.42,8.62,112,71,69,581,PEN_MOVE
310,33,1624604432317,22.47,8.7,109,71,69,580,PEN_MOVE
310,33,1624604432330,22.5,8.74,113,72,69,579,PEN_MOVE
310,33,1624604432354,22.54,8.77,112,71,69,583,PEN_MOVE
310,33,1624604432388,22.59,8.78,111,69,69,581,PEN_MOVE
310,33,1624604432399,22.64,8.78,111,69,69,584,PEN_MOVE
310,33,1624604432411,22.75,8.77,111,71,69,594,PEN_MOVE
310,33,1624604432422,22.87,8.74,111,67,69,596,PEN_MOVE
310,33,1624604432433,22.96,8.69,112,67,69,595,PEN_MOVE
310,33,1624604432446,23.02,8.65,111,66,69,594,PEN_MOVE
310,33,1624604432468,23.06,8.62,109,66,69,593,PEN_MOVE
310,33,1624604432492,23.08,8.59,109,67,69,603,PEN_MOVE
310,33,1624604432504,23.1,8.54,108,65,69,605,PEN_MOVE
310,33,1624604432516,23.17,8.38,108,67,69,604,PEN_MOVE
310,33,1624604432528,23.35,8.16,110,66,69,603,PEN_MOVE
310,33,1624604432538,23.41,8.11,110,66,68,606,PEN_MOVE
310,33,1624604432573,23.44,8.1,110,67,68,657,PEN_MOVE
310,33,1624604432781,23.43,8.08,107,67,69,669,PEN_MOVE
310,33,1624604432989,23.43,8.07,109,67,69,668,PEN_MOVE
310,33,1624604433093,23.43,8.04,109,66,69,674,PEN_MOVE
310,33,1624604433103,23.42,8.01,109,68,69,676,PEN_MOVE
310,33,1624604433115,23.42,7.98,108,71,69,676,PEN_MOVE
310,33,1624604433126,23.41,7.95,109,70,69,674,PEN_MOVE
310,33,1624604433161,23.4,7.92,109,71,69,677,PEN_MOVE
