NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,31,1624604060264,5.33,13.52,108,174,86,147,PEN_DOWN
310,31,1624604060275,5.34,13.52,107,155,86,414,PEN_MOVE
310,31,1624604060299,5.36,13.53,107,158,86,591,PEN_MOVE
310,31,1624604060368,5.39,13.56,111,155,86,655,PEN_MOVE
310,31,1624604060380,5.39,13.59,108,173,86,654,PEN_MOVE
310,31,1624604060391,5.4,13.62,110,158,86,652,PEN_MOVE
310,31,1624604060402,5.4,13.66,111,158,86,652,PEN_MOVE
310,31,1624604060414,5.41,13.74,111,157,86,651,PEN_MOVE
310,31,1624604060424,5.42,13.82,110,157,86,654,PEN_MOVE
310,31,1624604060436,5.43,13.93,111,159,86,661,PEN_MOVE
310,31,1624604060448,5.45,14.03,109,173,86,670,PEN_MOVE
310,31,1624604060460,5.48,14.17,110,174,86,668,PEN_MOVE
310,31,1624604060472,5.49,14.28,110,173,86,667,PEN_MOVE
310,31,1624604060483,5.51,14.4,111,173,86,670,PEN_MOVE
310,31,1624604060494,5.52,14.53,112,171,86,675,PEN_MOVE
310,31,1624604060504,5.54,14.66,112,159,86,679,PEN_MOVE
310,31,1624604060517,5.54,14.78,112,155,86,681,PEN_MOVE
310,31,1624604060530,5.55,14.89,112,155,86,681,PEN_MOVE
310,31,1624604060540,5.55,14.95,113,154,86,682,PEN_MOVE
310,31,1624604060554,5.55,15.01,112,155,86,687,PEN_MOVE
310,31,1624604060563,5.53,15.12,113,154,86,690,PEN_MOVE
310,31,1624604060574,5.5,15.19,112,143,86,690,PEN_MOVE
310,31,1624604060585,5.46,15.24,111,140,86,688,PEN_MOVE
310,31,1624604060598,5.36,15.36,112,143,86,685,PEN_MOVE
310,31,1624604060610,5.24,15.47,108,137,86,684,PEN_MOVE
310,31,1624604060621,5.16,15.52,109,139,86,686,PEN_MOVE
310,31,1624604060633,5.12,15.53,112,140,86,687,PEN_MOVE
310,31,1624604060645,5.09,15.53,111,141,86,675,PEN_MOVE
310,31,1624604060656,5.03,15.5,109,142,86,623,PEN_MOVE
310,31,1624604060668,4.96,15.4,109,141,86,504,PEN_MOVE
310,31,1624604060679,4.92,15.16,107,128,85,257,PEN_MOVE
310,31,1624604060691,4.94,14.82,111,153,85,90,PEN_MOVE
310,31,1624604060691,4.94,14.82,111,153,85,90,PEN_UP
310,31,1624604061086,6.5,14.03,109,143,86,233,PEN_DOWN
310,31,1624604061096,6.49,14.04,108,153,86,495,PEN_MOVE
310,31,1624604061145,6.45,14.07,107,143,86,633,PEN_MOVE
310,31,1624604061166,6.38,14.15,108,143,86,648,PEN_MOVE
310,31,1624604061177,6.33,14.23,109,141,86,652,PEN_MOVE
310,31,1624604061189,6.28,14.29,110,140,86,658,PEN_MOVE
310,31,1624604061201,6.23,14.38,111,139,86,666,PEN_MOVE
310,31,1624604061214,6.17,14.48,112,140,86,668,PEN_MOVE
310,31,1624604061225,6.12,14.6,112,139,86,669,PEN_MOVE
310,31,1624604061236,6.06,14.73,112,141,86,667,PEN_MOVE
310,31,1624604061247,6.02,14.85,112,140,86,668,PEN_MOVE
310,31,1624604061258,5.98,14.97,113,140,86,672,PEN_MOVE
310,31,1624604061270,5.95,15.09,108,142,86,674,PEN_MOVE
310,31,1624604061281,5.95,15.22,113,140,86,675,PEN_MOVE
310,31,1624604061294,5.95,15.35,113,142,86,673,PEN_MOVE
310,31,1624604061305,5.95,15.43,108,142,86,687,PEN_MOVE
310,31,1624604061317,5.97,15.48,111,140,86,688,PEN_MOVE
310,31,1624604061328,5.99,15.51,112,141,85,691,PEN_MOVE
310,31,1624604061341,6.02,15.53,112,142,85,695,PEN_MOVE
310,31,1624604061364,6.06,15.56,113,143,85,692,PEN_MOVE
310,31,1624604061387,6.11,15.57,112,156,85,691,PEN_MOVE
310,31,1624604061409,6.17,15.57,112,154,85,696,PEN_MOVE
310,31,1624604061420,6.22,15.57,111,158,85,696,PEN_MOVE
310,31,1624604061433,6.26,15.57,111,156,85,694,PEN_MOVE
310,31,1624604061444,6.29,15.57,110,156,85,692,PEN_MOVE
310,31,1624604061468,6.34,15.55,111,172,85,698,PEN_MOVE
310,31,1624604061480,6.38,15.53,110,157,85,701,PEN_MOVE
310,31,1624604061491,6.44,15.48,112,172,85,701,PEN_MOVE
310,31,1624604061501,6.49,15.43,111,172,85,699,PEN_MOVE
310,31,1624604061513,6.51,15.39,111,173,85,701,PEN_MOVE
310,31,1624604061524,6.55,15.32,109,172,85,702,PEN_MOVE
310,31,1624604061536,6.6,15.25,109,159,85,706,PEN_MOVE
310,31,1624604061548,6.63,15.2,112,158,85,710,PEN_MOVE
310,31,1624604061560,6.65,15.15,112,172,85,709,PEN_MOVE
310,31,1624604061572,6.68,15.1,112,157,85,707,PEN_MOVE
310,31,1624604061582,6.7,15.04,112,156,86,706,PEN_MOVE
310,31,1624604061593,6.71,15,113,156,86,711,PEN_MOVE
310,31,1624604061606,6.71,14.98,112,156,86,716,PEN_MOVE
310,31,1624604061628,6.72,14.94,111,156,86,716,PEN_MOVE
310,31,1624604061652,6.73,14.9,111,155,86,715,PEN_MOVE
310,31,1624604061663,6.73,14.87,111,158,86,723,PEN_MOVE
310,31,1624604061685,6.73,14.84,111,156,86,734,PEN_MOVE
310,31,1624604061710,6.73,14.8,112,155,86,731,PEN_MOVE
310,31,1624604061721,6.73,14.76,113,154,86,731,PEN_MOVE
310,31,1624604061734,6.73,14.69,113,154,86,732,PEN_MOVE
310,31,1624604061743,6.73,14.62,111,154,86,734,PEN_MOVE
310,31,1624604061754,6.73,14.53,112,143,86,732,PEN_MOVE
310,31,1624604061766,6.73,14.49,112,154,86,729,PEN_MOVE
310,31,1624604061791,6.73,14.46,113,154,86,726,PEN_MOVE
310,31,1624604061952,6.73,14.43,108,143,86,726,PEN_MOVE
310,31,1624604062010,6.73,14.36,109,143,86,724,PEN_MOVE
310,31,1624604062021,6.73,14.08,110,153,86,717,PEN_MOVE
310,31,1624604062033,6.75,13.9,111,142,86,711,PEN_MOVE
310,31,1624604062045,6.77,13.81,112,142,86,708,PEN_MOVE
310,31,1624604062057,6.8,13.77,113,143,86,707,PEN_MOVE
310,31,1624604062196,6.82,13.8,110,140,86,698,PEN_MOVE
310,31,1624604062219,6.81,13.83,115,138,86,703,PEN_MOVE
310,31,1624604062240,6.8,13.87,115,138,86,700,PEN_MOVE
310,31,1624604062253,6.8,13.9,115,139,86,698,PEN_MOVE
310,31,1624604062264,6.79,13.93,135,138,86,699,PEN_MOVE
310,31,1624604062276,6.78,13.97,137,141,86,702,PEN_MOVE
