NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
312,29,1624612745943,7.2,9.38,76,54,36,246,PEN_DOWN
312,29,1624612745955,7.18,9.34,76,30,36,217,PEN_MOVE
312,29,1624612745967,7.17,9.28,76,36,36,289,PEN_MOVE
312,29,1624612745977,7.16,9.21,75,38,37,376,PEN_MOVE
312,29,1624612745989,7.16,9.18,75,59,37,427,PEN_MOVE
312,29,1624612746011,7.16,9.12,75,61,37,543,PEN_MOVE
312,29,1624612746095,7.16,9.2,69,62,38,584,PEN_MOVE
312,29,1624612746109,7.19,9.3,75,61,38,603,PEN_MOVE
312,29,1624612746118,7.21,9.42,76,62,39,609,PEN_MOVE
312,29,1624612746127,7.24,9.57,76,61,39,612,PEN_MOVE
312,29,1624612746140,7.25,9.73,76,62,39,624,PEN_MOVE
312,29,1624612746151,7.26,9.9,77,64,39,622,PEN_MOVE
312,29,1624612746164,7.27,10.07,77,62,39,621,PEN_MOVE
312,29,1624612746175,7.27,10.28,77,62,39,625,PEN_MOVE
312,29,1624612746186,7.27,10.49,75,61,39,627,PEN_MOVE
312,29,1624612746198,7.27,10.76,75,60,39,626,PEN_MOVE
312,29,1624612746208,7.27,11.05,79,62,39,624,PEN_MOVE
312,29,1624612746221,7.27,11.25,79,59,39,621,PEN_MOVE
312,29,1624612746231,7.27,11.42,79,60,39,621,PEN_MOVE
312,29,1624612746245,7.27,11.6,80,59,39,622,PEN_MOVE
312,29,1624612746255,7.27,11.7,79,59,39,623,PEN_MOVE
312,29,1624612746269,7.27,11.83,80,61,40,623,PEN_MOVE
312,29,1624612746281,7.27,11.97,80,59,40,624,PEN_MOVE
312,29,1624612746293,7.28,12.1,80,61,40,623,PEN_MOVE
312,29,1624612746303,7.28,12.19,80,60,40,623,PEN_MOVE
312,29,1624612746313,7.29,12.25,80,62,40,625,PEN_MOVE
312,29,1624612746326,7.31,12.28,80,61,40,625,PEN_MOVE
312,29,1624612746360,7.34,12.31,81,60,40,643,PEN_MOVE
312,29,1624612746383,7.37,12.31,81,61,40,644,PEN_MOVE
312,29,1624612746396,7.41,12.31,81,59,40,647,PEN_MOVE
312,29,1624612746407,7.48,12.32,81,62,40,647,PEN_MOVE
312,29,1624612746420,7.57,12.32,81,64,40,645,PEN_MOVE
312,29,1624612746431,7.65,12.33,81,61,40,641,PEN_MOVE
