NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,26,1624603421280,5.65,10.98,96,56,49,566,PEN_DOWN
310,26,1624603421290,5.66,11,96,55,49,608,PEN_MOVE
310,26,1624603421312,5.67,11.05,97,59,49,616,PEN_MOVE
310,26,1624603421324,5.68,11.1,98,57,49,620,PEN_MOVE
310,26,1624603421336,5.69,11.18,98,56,49,632,PEN_MOVE
310,26,1624603421348,5.7,11.3,100,55,49,648,PEN_MOVE
310,26,1624603421360,5.71,11.41,99,56,49,656,PEN_MOVE
310,26,1624603421371,5.72,11.5,100,56,49,658,PEN_MOVE
310,26,1624603421381,5.73,11.58,102,56,49,661,PEN_MOVE
310,26,1624603421392,5.74,11.69,101,58,49,665,PEN_MOVE
310,26,1624603421405,5.74,11.79,101,59,49,671,PEN_MOVE
310,26,1624603421416,5.74,11.93,102,56,49,677,PEN_MOVE
310,26,1624603421427,5.75,12.09,101,58,49,677,PEN_MOVE
310,26,1624603421440,5.75,12.21,101,59,49,677,PEN_MOVE
310,26,1624603421451,5.76,12.32,102,57,49,680,PEN_MOVE
310,26,1624603421462,5.76,12.37,102,57,49,679,PEN_MOVE
310,26,1624603421474,5.77,12.42,103,57,49,682,PEN_MOVE
310,26,1624603421485,5.78,12.5,102,57,49,686,PEN_MOVE
310,26,1624603421497,5.78,12.59,102,58,49,685,PEN_MOVE
310,26,1624603421508,5.79,12.66,102,59,49,682,PEN_MOVE
310,26,1624603421521,5.8,12.69,103,57,49,680,PEN_MOVE
310,26,1624603421555,5.81,12.72,103,58,49,633,PEN_MOVE
310,26,1624603421579,5.81,12.72,102,57,49,179,PEN_MOVE
310,26,1624603421579,5.81,12.72,102,57,49,179,PEN_UP
310,26,1624603421920,5.65,11,102,58,50,395,PEN_DOWN
310,26,1624603421955,5.65,11,102,56,50,599,PEN_MOVE
310,26,1624603422024,5.68,11.01,102,60,52,679,PEN_MOVE
310,26,1624603422047,5.71,11.01,102,60,52,692,PEN_MOVE
310,26,1624603422070,5.75,11.07,104,61,52,690,PEN_MOVE
310,26,1624603422080,5.81,11.2,103,62,52,689,PEN_MOVE
310,26,1624603422093,5.93,11.43,103,64,52,691,PEN_MOVE
310,26,1624603422104,6.04,11.6,103,64,52,693,PEN_MOVE
310,26,1624603422116,6.14,11.82,105,64,52,695,PEN_MOVE
310,26,1624603422127,6.22,11.96,105,61,52,694,PEN_MOVE
310,26,1624603422139,6.3,12.1,106,64,52,695,PEN_MOVE
310,26,1624603422151,6.39,12.21,103,61,52,697,PEN_MOVE
310,26,1624603422162,6.45,12.28,102,61,52,697,PEN_MOVE
310,26,1624603422174,6.5,12.32,105,61,52,700,PEN_MOVE
310,26,1624603422186,6.53,12.37,103,61,52,704,PEN_MOVE
310,26,1624603422208,6.56,12.4,105,64,52,704,PEN_MOVE
310,26,1624603422243,6.59,12.41,105,65,52,702,PEN_MOVE
310,26,1624603422279,6.64,12.46,106,65,52,702,PEN_MOVE
310,26,1624603422288,6.71,12.54,105,65,52,700,PEN_MOVE
310,26,1624603422300,6.79,12.65,102,64,52,700,PEN_MOVE
310,26,1624603422311,6.85,12.72,106,64,52,702,PEN_MOVE
310,26,1624603422324,6.88,12.75,105,63,52,703,PEN_MOVE
310,26,1624603422370,6.91,12.76,103,65,52,708,PEN_MOVE
310,26,1624603422440,6.92,12.73,106,66,53,718,PEN_MOVE
310,26,1624603422463,6.92,12.69,103,66,53,724,PEN_MOVE
310,26,1624603422474,6.92,12.63,103,65,53,723,PEN_MOVE
310,26,1624603422485,6.92,12.49,107,67,53,722,PEN_MOVE
310,26,1624603422496,6.92,12.22,105,65,53,721,PEN_MOVE
310,26,1624603422509,6.93,12.07,107,63,53,722,PEN_MOVE
310,26,1624603422520,6.93,11.98,107,62,53,725,PEN_MOVE
310,26,1624603422533,6.93,11.87,107,62,54,725,PEN_MOVE
310,26,1624603422542,6.94,11.78,105,62,54,723,PEN_MOVE
310,26,1624603422554,6.94,11.7,106,61,54,721,PEN_MOVE
310,26,1624603422566,6.94,11.65,106,62,54,718,PEN_MOVE
310,26,1624603422577,6.95,11.61,106,62,54,721,PEN_MOVE
310,26,1624603422589,6.95,11.58,106,62,54,724,PEN_MOVE
310,26,1624603422600,6.95,11.55,107,62,54,724,PEN_MOVE
310,26,1624603422613,6.96,11.48,105,63,54,721,PEN_MOVE
310,26,1624603422624,6.97,11.39,106,63,54,719,PEN_MOVE
310,26,1624603422635,6.98,11.32,105,63,54,718,PEN_MOVE
310,26,1624603422647,6.99,11.28,107,62,54,720,PEN_MOVE
310,26,1624603422659,7,11.24,106,62,54,723,PEN_MOVE
310,26,1624603422670,7.01,11.2,106,63,54,722,PEN_MOVE
310,26,1624603422682,7.01,11.17,105,64,54,720,PEN_MOVE
310,26,1624603422704,7.03,11.13,103,61,54,718,PEN_MOVE
310,26,1624603422728,7.03,11.08,104,64,54,722,PEN_MOVE
310,26,1624603422752,7.04,11.05,104,64,54,719,PEN_MOVE
310,26,1624603422959,7.07,11.07,104,63,54,724,PEN_MOVE
310,26,1624603422970,7.07,11.1,104,64,54,722,PEN_MOVE
310,26,1624603422982,7.07,11.15,105,62,54,723,PEN_MOVE
