NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
312,28,1624612596482,6.26,13.12,83,4,40,544,PEN_DOWN
312,28,1624612596680,6.29,13.1,87,4,42,595,PEN_MOVE
312,28,1624612596704,6.31,12.96,86,7,42,593,PEN_MOVE
312,28,1624612596713,6.35,12.79,86,7,42,590,PEN_MOVE
312,28,1624612596724,6.4,12.67,86,13,42,591,PEN_MOVE
312,28,1624612596735,6.44,12.59,88,10,42,592,PEN_MOVE
312,28,1624612596746,6.48,12.45,87,9,43,594,PEN_MOVE
312,28,1624612596759,6.52,12.27,86,11,43,596,PEN_MOVE
312,28,1624612596770,6.54,12.05,84,5,43,594,PEN_MOVE
312,28,1624612596792,6.59,11.74,87,6,43,592,PEN_MOVE
312,28,1624612596805,6.65,11.6,87,7,43,593,PEN_MOVE
312,28,1624612596816,6.7,11.47,86,13,43,594,PEN_MOVE
312,28,1624612596829,6.74,11.35,86,9,43,594,PEN_MOVE
312,28,1624612596840,6.79,11.21,88,9,44,593,PEN_MOVE
312,28,1624612596864,6.94,10.73,88,5,44,591,PEN_MOVE
312,28,1624612596884,7.01,10.51,88,4,44,594,PEN_MOVE
312,28,1624612596898,7.04,10.45,89,6,44,593,PEN_MOVE
312,28,1624612596908,7.05,10.42,89,3,44,591,PEN_MOVE
312,28,1624612596933,7.06,10.39,87,11,44,590,PEN_MOVE
312,28,1624612596979,7.08,10.34,88,15,44,594,PEN_MOVE
312,28,1624612597025,7.1,10.28,89,13,44,599,PEN_MOVE
312,28,1624612597035,7.11,10.23,89,11,44,598,PEN_MOVE
312,28,1624612597057,7.13,10.16,88,7,44,595,PEN_MOVE
312,28,1624612597094,7.15,10.13,89,9,45,599,PEN_MOVE
312,28,1624612597188,7.19,10.15,91,13,45,593,PEN_MOVE
312,28,1624612597212,7.26,10.23,94,13,45,598,PEN_MOVE
312,28,1624612597222,7.34,10.34,93,15,45,601,PEN_MOVE
312,28,1624612597232,7.4,10.43,92,17,45,603,PEN_MOVE
312,28,1624612597244,7.48,10.71,93,18,45,603,PEN_MOVE
312,28,1624612597269,7.63,11.25,95,18,45,604,PEN_MOVE
312,28,1624612597280,7.73,11.46,97,9,45,606,PEN_MOVE
312,28,1624612597292,7.79,11.57,96,12,45,607,PEN_MOVE
312,28,1624612597303,7.83,11.64,98,12,45,607,PEN_MOVE
312,28,1624612597324,7.85,11.67,97,10,46,604,PEN_MOVE
312,28,1624612597384,7.86,11.7,98,17,45,609,PEN_MOVE
312,28,1624612597417,7.86,11.67,97,8,45,621,PEN_MOVE
312,28,1624612597429,7.86,11.61,96,13,45,622,PEN_MOVE
312,28,1624612597441,7.86,11.47,95,13,45,620,PEN_MOVE
312,28,1624612597453,7.86,11.34,95,13,45,617,PEN_MOVE
312,28,1624612597465,7.86,11.19,93,19,45,615,PEN_MOVE
312,28,1624612597487,7.92,10.74,93,20,45,618,PEN_MOVE
312,28,1624612597524,8.21,10.38,93,22,45,614,PEN_MOVE
312,28,1624612597535,8.3,10.33,93,21,46,611,PEN_MOVE
