NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
312,18,1624611066902,9.47,10.03,107,67,66,435,PEN_DOWN
312,18,1624611066958,9.48,10,108,68,66,580,PEN_MOVE
312,18,1624611066993,9.49,9.99,108,65,66,586,PEN_MOVE
312,18,1624611067075,9.51,9.95,107,65,66,596,PEN_MOVE
312,18,1624611067086,9.52,9.89,107,67,66,595,PEN_MOVE
312,18,1624611067097,9.54,9.8,107,66,66,594,PEN_MOVE
312,18,1624611067109,9.56,9.71,107,65,66,592,PEN_MOVE
312,18,1624611067120,9.57,9.64,107,66,66,591,PEN_MOVE
312,18,1624611067132,9.6,9.58,107,69,66,592,PEN_MOVE
312,18,1624611067143,9.65,9.49,110,66,66,594,PEN_MOVE
312,18,1624611067154,9.72,9.37,110,67,66,595,PEN_MOVE
312,18,1624611067166,9.78,9.21,106,67,66,594,PEN_MOVE
312,18,1624611067178,9.83,9.08,107,65,66,592,PEN_MOVE
312,18,1624611067190,9.88,8.98,107,68,66,592,PEN_MOVE
312,18,1624611067200,9.92,8.87,108,68,66,594,PEN_MOVE
312,18,1624611067212,9.96,8.76,107,65,66,596,PEN_MOVE
312,18,1624611067224,10.04,8.63,107,65,66,602,PEN_MOVE
312,18,1624611067236,10.12,8.47,110,67,66,612,PEN_MOVE
312,18,1624611067249,10.18,8.35,106,67,66,613,PEN_MOVE
312,18,1624611067260,10.22,8.25,111,68,66,611,PEN_MOVE
312,18,1624611067272,10.28,8.14,111,71,66,615,PEN_MOVE
312,18,1624611067282,10.35,8.01,110,65,66,618,PEN_MOVE
312,18,1624611067292,10.42,7.9,110,68,66,618,PEN_MOVE
312,18,1624611067306,10.45,7.79,110,67,66,617,PEN_MOVE
312,18,1624611067317,10.49,7.69,110,66,66,614,PEN_MOVE
312,18,1624611067328,10.51,7.62,110,67,66,615,PEN_MOVE
312,18,1624611067340,10.52,7.59,111,66,66,617,PEN_MOVE
312,18,1624611067351,10.53,7.56,110,67,66,620,PEN_MOVE
312,18,1624611067364,10.54,7.53,109,65,66,620,PEN_MOVE
312,18,1624611067375,10.57,7.43,106,66,66,619,PEN_MOVE
312,18,1624611067386,10.6,7.32,110,68,66,617,PEN_MOVE
312,18,1624611067397,10.66,7.23,109,66,66,617,PEN_MOVE
312,18,1624611067410,10.7,7.1,106,65,66,621,PEN_MOVE
312,18,1624611067421,10.74,7.01,111,65,66,621,PEN_MOVE
312,18,1624611067433,10.79,6.91,109,68,66,621,PEN_MOVE
312,18,1624611067444,10.84,6.83,109,65,66,619,PEN_MOVE
312,18,1624611067456,10.87,6.76,109,65,66,617,PEN_MOVE
312,18,1624611067467,10.9,6.68,109,65,66,618,PEN_MOVE
312,18,1624611067478,10.92,6.63,109,67,67,619,PEN_MOVE
312,18,1624611067489,10.94,6.6,108,68,67,620,PEN_MOVE
312,18,1624611067525,10.95,6.57,109,65,67,615,PEN_MOVE
312,18,1624611067732,10.95,6.6,110,72,67,612,PEN_MOVE
312,18,1624611067757,10.94,6.65,110,70,67,615,PEN_MOVE
312,18,1624611067768,10.94,6.72,109,73,67,615,PEN_MOVE
312,18,1624611067781,10.94,6.83,109,73,67,614,PEN_MOVE
312,18,1624611067790,10.94,6.91,109,71,67,612,PEN_MOVE
312,18,1624611067800,10.94,6.97,109,71,67,611,PEN_MOVE
312,18,1624611067812,10.94,7.07,108,72,67,613,PEN_MOVE
312,18,1624611067826,10.95,7.19,108,73,67,615,PEN_MOVE
312,18,1624611067837,10.95,7.29,108,74,67,615,PEN_MOVE
312,18,1624611067849,10.96,7.45,108,76,67,614,PEN_MOVE
312,18,1624611067861,10.97,7.54,107,76,67,611,PEN_MOVE
312,18,1624611067872,10.98,7.61,108,77,67,612,PEN_MOVE
312,18,1624611067883,10.98,7.71,109,74,67,614,PEN_MOVE
312,18,1624611067894,10.99,7.83,109,78,67,616,PEN_MOVE
312,18,1624611067906,10.99,7.94,107,77,67,615,PEN_MOVE
312,18,1624611067917,11,8.05,110,82,67,614,PEN_MOVE
312,18,1624611067929,11.01,8.12,110,77,67,611,PEN_MOVE
312,18,1624611067941,11.02,8.19,110,79,67,612,PEN_MOVE
312,18,1624611067952,11.03,8.24,107,79,66,615,PEN_MOVE
312,18,1624611067963,11.04,8.3,107,77,67,616,PEN_MOVE
