NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
310,21,1624602401671,7.02,13.12,111,144,81,553,PEN_DOWN
310,21,1624602401682,6.98,13.11,111,146,81,586,PEN_MOVE
310,21,1624602401705,6.98,13.14,110,142,81,612,PEN_MOVE
310,21,1624602401740,7,13.17,109,142,82,681,PEN_MOVE
310,21,1624602401788,7.03,13.18,111,142,82,716,PEN_MOVE
310,21,1624602401844,7.05,13.22,112,143,82,720,PEN_MOVE
310,21,1624602401856,7.06,13.27,111,141,82,722,PEN_MOVE
310,21,1624602401868,7.07,13.35,110,139,82,725,PEN_MOVE
310,21,1624602401880,7.09,13.43,109,139,82,726,PEN_MOVE
310,21,1624602401891,7.12,13.55,108,138,82,726,PEN_MOVE
310,21,1624602401901,7.16,13.71,108,139,82,723,PEN_MOVE
310,21,1624602401912,7.23,14.01,110,139,82,721,PEN_MOVE
310,21,1624602401925,7.3,14.35,109,141,82,722,PEN_MOVE
310,21,1624602401936,7.33,14.6,110,140,82,723,PEN_MOVE
310,21,1624602401948,7.4,14.95,106,148,82,724,PEN_MOVE
310,21,1624602401959,7.45,15.2,109,125,82,723,PEN_MOVE
310,21,1624602401971,7.47,15.29,108,148,82,721,PEN_MOVE
310,21,1624602401982,7.51,15.38,107,147,82,718,PEN_MOVE
310,21,1624602401994,7.54,15.43,106,146,82,719,PEN_MOVE
310,21,1624602402006,7.56,15.48,110,146,82,722,PEN_MOVE
310,21,1624602402018,7.58,15.52,111,148,82,721,PEN_MOVE
310,21,1624602402030,7.61,15.57,109,146,81,720,PEN_MOVE
310,21,1624602402052,7.64,15.61,109,147,81,716,PEN_MOVE
310,21,1624602402099,7.66,15.64,109,147,82,718,PEN_MOVE
310,21,1624602402168,7.67,15.67,109,146,82,717,PEN_MOVE
310,21,1624602402179,7.69,15.71,109,146,82,714,PEN_MOVE
310,21,1624602402191,7.7,15.76,108,146,82,714,PEN_MOVE
310,21,1624602402203,7.72,15.79,108,146,82,716,PEN_MOVE
310,21,1624602402215,7.74,15.82,108,146,82,718,PEN_MOVE
310,21,1624602402224,7.76,15.85,107,146,82,717,PEN_MOVE
310,21,1624602402235,7.77,15.89,108,146,81,715,PEN_MOVE
310,21,1624602402248,7.8,15.98,108,145,82,712,PEN_MOVE
310,21,1624602402259,7.83,16.08,108,146,82,713,PEN_MOVE
310,21,1624602402272,7.86,16.19,107,146,82,716,PEN_MOVE
310,21,1624602402284,7.88,16.23,107,146,82,717,PEN_MOVE
310,21,1624602402295,7.89,16.26,106,146,82,718,PEN_MOVE
310,21,1624602402328,7.91,16.29,106,147,82,712,PEN_MOVE
310,21,1624602402479,7.93,16.26,109,147,81,713,PEN_MOVE
310,21,1624602402515,7.93,16.22,108,149,81,708,PEN_MOVE
310,21,1624602402527,7.93,16.19,109,148,81,707,PEN_MOVE
310,21,1624602402538,7.94,16.14,108,149,81,709,PEN_MOVE
310,21,1624602402549,7.98,16.03,107,151,81,710,PEN_MOVE
310,21,1624602402560,8.09,15.88,107,151,81,710,PEN_MOVE
310,21,1624602402572,8.22,15.66,109,151,82,709,PEN_MOVE
310,21,1624602402583,8.35,15.41,108,151,82,707,PEN_MOVE
310,21,1624602402607,8.49,15.15,110,137,82,709,PEN_MOVE
310,21,1624602402619,8.6,14.86,109,151,82,711,PEN_MOVE
310,21,1624602402631,8.66,14.75,108,151,82,711,PEN_MOVE
310,21,1624602402640,8.73,14.53,107,152,82,708,PEN_MOVE
310,21,1624602402652,8.86,14.3,109,150,82,707,PEN_MOVE
310,21,1624602402663,8.96,14.15,109,148,83,706,PEN_MOVE
310,21,1624602402675,9.04,13.96,109,147,83,710,PEN_MOVE
310,21,1624602402688,9.18,13.75,107,146,83,713,PEN_MOVE
310,21,1624602402700,9.26,13.54,110,149,83,712,PEN_MOVE
310,21,1624602402712,9.35,13.38,109,150,83,710,PEN_MOVE
310,21,1624602402722,9.44,13.17,108,152,83,707,PEN_MOVE
310,21,1624602402732,9.49,13.08,109,151,83,708,PEN_MOVE
310,21,1624602402746,9.52,12.99,108,155,83,711,PEN_MOVE
310,21,1624602402756,9.59,12.81,108,150,83,714,PEN_MOVE
310,21,1624602402768,9.68,12.68,107,154,84,712,PEN_MOVE
310,21,1624602402779,9.71,12.63,106,157,83,710,PEN_MOVE
310,21,1624602402792,9.74,12.62,105,153,84,708,PEN_MOVE
310,21,1624602402826,9.75,12.59,106,156,83,712,PEN_MOVE
310,21,1624602402861,9.78,12.56,105,154,84,707,PEN_MOVE
310,21,1624602402884,9.79,12.53,106,154,84,710,PEN_MOVE
310,21,1624602403012,9.8,12.49,111,131,83,371,PEN_MOVE
310,21,1624602403023,9.81,12.47,107,159,83,7,PEN_MOVE
310,21,1624602403023,9.81,12.47,107,159,83,7,PEN_UP
310,21,1624602404129,10.71,14.65,106,65,68,562,PEN_DOWN
310,21,1624602404188,10.75,14.67,107,65,68,635,PEN_MOVE
310,21,1624602404212,10.79,14.68,108,67,68,664,PEN_MOVE
310,21,1624602404235,10.83,14.68,108,67,68,668,PEN_MOVE
310,21,1624602404244,10.88,14.68,109,67,68,670,PEN_MOVE
310,21,1624602404256,10.95,14.68,109,65,68,669,PEN_MOVE
310,21,1624602404268,11.05,14.68,108,65,68,667,PEN_MOVE
310,21,1624602404280,11.11,14.67,109,66,68,665,PEN_MOVE
310,21,1624602404293,11.19,14.67,110,68,68,666,PEN_MOVE
310,21,1624602404304,11.32,14.66,111,68,68,671,PEN_MOVE
310,21,1624602404315,11.47,14.65,111,65,68,674,PEN_MOVE
310,21,1624602404325,11.56,14.64,107,68,68,676,PEN_MOVE
310,21,1624602404337,11.68,14.61,107,68,68,674,PEN_MOVE
310,21,1624602404348,11.73,14.59,107,69,68,672,PEN_MOVE
310,21,1624602404362,11.79,14.57,107,70,68,674,PEN_MOVE
310,21,1624602404372,11.85,14.54,108,67,68,679,PEN_MOVE
310,21,1624602404384,11.92,14.5,108,70,68,684,PEN_MOVE
310,21,1624602404395,11.98,14.46,108,70,68,685,PEN_MOVE
310,21,1624602404406,12.02,14.42,107,69,68,683,PEN_MOVE
310,21,1624602404417,12.05,14.38,107,68,68,683,PEN_MOVE
310,21,1624602404429,12.09,14.35,107,69,68,684,PEN_MOVE
310,21,1624602404441,12.1,14.32,107,69,68,688,PEN_MOVE
310,21,1624602404453,12.11,14.29,106,69,68,694,PEN_MOVE
310,21,1624602404477,12.11,14.26,111,69,68,703,PEN_MOVE
310,21,1624602404500,12.09,14.23,110,67,68,710,PEN_MOVE
310,21,1624602404511,12.07,14.17,110,66,68,711,PEN_MOVE
310,21,1624602404522,12.04,14.09,109,66,68,721,PEN_MOVE
310,21,1624602404533,12,14.02,109,68,68,722,PEN_MOVE
310,21,1624602404546,11.93,13.95,110,65,68,718,PEN_MOVE
310,21,1624602404557,11.83,13.87,110,67,68,716,PEN_MOVE
310,21,1624602404568,11.72,13.82,107,66,68,718,PEN_MOVE
310,21,1624602404580,11.64,13.79,107,66,68,719,PEN_MOVE
310,21,1624602404591,11.58,13.78,110,65,68,719,PEN_MOVE
310,21,1624602404603,11.54,13.78,106,67,68,721,PEN_MOVE
310,21,1624602404615,11.51,13.78,107,67,68,725,PEN_MOVE
310,21,1624602404638,11.47,13.8,110,66,68,726,PEN_MOVE
310,21,1624602404660,11.41,13.89,111,65,68,726,PEN_MOVE
310,21,1624602404673,11.28,14.08,106,68,68,723,PEN_MOVE
310,21,1624602404684,11.13,14.27,107,71,68,720,PEN_MOVE
310,21,1624602404697,11.02,14.45,107,71,68,719,PEN_MOVE
310,21,1624602404707,10.94,14.66,108,72,68,722,PEN_MOVE
310,21,1624602404720,10.86,14.8,108,74,68,723,PEN_MOVE
310,21,1624602404731,10.81,14.91,108,73,68,723,PEN_MOVE
310,21,1624602404741,10.78,14.99,109,75,68,720,PEN_MOVE
310,21,1624602404753,10.76,15.08,109,74,68,718,PEN_MOVE
310,21,1624602404764,10.74,15.13,109,76,68,718,PEN_MOVE
310,21,1624602404776,10.72,15.18,108,76,68,720,PEN_MOVE
310,21,1624602404788,10.71,15.24,108,77,68,720,PEN_MOVE
310,21,1624602404800,10.69,15.36,108,78,68,721,PEN_MOVE
310,21,1624602404813,10.68,15.47,108,77,68,718,PEN_MOVE
310,21,1624602404822,10.68,15.54,109,77,68,715,PEN_MOVE
310,21,1624602404833,10.68,15.6,110,78,68,715,PEN_MOVE
310,21,1624602404845,10.69,15.65,110,77,68,700,PEN_MOVE
310,21,1624602404858,10.71,15.69,110,81,68,700,PEN_MOVE
310,21,1624602404869,10.76,15.73,110,82,68,701,PEN_MOVE
310,21,1624602404881,10.82,15.76,111,82,68,699,PEN_MOVE
310,21,1624602404892,10.92,15.79,113,82,68,697,PEN_MOVE
310,21,1624602404904,11.07,15.81,113,84,68,699,PEN_MOVE
310,21,1624602404916,11.21,15.84,110,86,68,703,PEN_MOVE
310,21,1624602404927,11.38,15.86,110,86,68,704,PEN_MOVE
310,21,1624602404938,11.52,15.87,112,88,68,703,PEN_MOVE
310,21,1624602404949,11.62,15.88,113,89,68,701,PEN_MOVE
310,21,1624602404962,11.72,15.88,111,87,68,700,PEN_MOVE
310,21,1624602404973,11.81,15.88,112,87,68,703,PEN_MOVE
310,21,1624602404984,11.92,15.88,112,86,68,707,PEN_MOVE
310,21,1624602404995,12,15.88,111,87,68,709,PEN_MOVE
310,21,1624602405006,12.08,15.86,113,88,68,708,PEN_MOVE
310,21,1624602405018,12.15,15.84,113,88,68,707,PEN_MOVE
310,21,1624602405030,12.23,15.8,113,89,68,706,PEN_MOVE
310,21,1624602405042,12.28,15.76,114,89,68,708,PEN_MOVE
310,21,1624602405053,12.36,15.72,114,89,68,712,PEN_MOVE
310,21,1624602405065,12.46,15.66,113,90,68,712,PEN_MOVE
310,21,1624602405076,12.56,15.61,113,89,68,710,PEN_MOVE
310,21,1624602405089,12.6,15.58,113,86,68,708,PEN_MOVE
310,21,1624602405113,12.63,15.55,113,85,68,710,PEN_MOVE
310,21,1624602405205,12.67,15.5,110,84,69,267,PEN_MOVE
310,21,1624602405205,12.67,15.5,110,84,69,267,PEN_UP
310,21,1624602406192,14.16,14.23,109,84,68,555,PEN_DOWN
310,21,1624602406227,14.19,14.27,110,88,68,594,PEN_MOVE
310,21,1624602406238,14.19,14.32,110,88,68,616,PEN_MOVE
310,21,1624602406248,14.2,14.41,110,88,68,632,PEN_MOVE
310,21,1624602406261,14.21,14.53,110,90,68,643,PEN_MOVE
310,21,1624602406271,14.21,14.66,110,89,68,644,PEN_MOVE
310,21,1624602406284,14.21,14.78,110,90,68,647,PEN_MOVE
310,21,1624602406295,14.22,14.91,109,89,68,652,PEN_MOVE
310,21,1624602406308,14.23,15.06,108,92,68,656,PEN_MOVE
310,21,1624602406320,14.24,15.28,108,93,68,658,PEN_MOVE
310,21,1624602406330,14.26,15.49,107,94,68,656,PEN_MOVE
310,21,1624602406342,14.28,15.61,108,101,68,653,PEN_MOVE
310,21,1624602406353,14.3,15.69,108,99,68,652,PEN_MOVE
310,21,1624602406365,14.31,15.73,107,101,68,653,PEN_MOVE
310,21,1624602406388,14.32,15.76,108,100,68,655,PEN_MOVE
310,21,1624602406411,14.33,15.79,108,101,68,650,PEN_MOVE
310,21,1624602406434,14.34,15.85,108,103,68,652,PEN_MOVE
310,21,1624602406445,14.34,15.93,107,101,68,653,PEN_MOVE
310,21,1624602406458,14.34,16.05,108,101,68,654,PEN_MOVE
310,21,1624602406469,14.34,16.11,107,101,68,652,PEN_MOVE
310,21,1624602406480,14.34,16.14,107,100,68,651,PEN_MOVE
310,21,1624602406620,14.35,16.1,108,101,68,674,PEN_MOVE
310,21,1624602406632,14.35,16.07,108,102,68,675,PEN_MOVE
310,21,1624602406644,14.35,16.03,108,103,68,677,PEN_MOVE
310,21,1624602406655,14.35,15.96,108,102,68,679,PEN_MOVE
310,21,1624602406664,14.35,15.88,108,103,68,677,PEN_MOVE
310,21,1624602406677,14.36,15.79,109,102,68,676,PEN_MOVE
310,21,1624602406688,14.36,15.71,109,102,68,674,PEN_MOVE
310,21,1624602406701,14.37,15.62,109,102,68,676,PEN_MOVE
