NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,33,1625123637517,8.78,7.83,105,90,78,266,PEN_DOWN
311,33,1625123637528,8.78,7.78,107,91,78,405,PEN_MOVE
311,33,1625123637540,8.79,7.71,105,92,78,400,PEN_MOVE
311,33,1625123637551,8.81,7.59,106,93,78,390,PEN_MOVE
311,33,1625123637562,8.85,7.46,107,94,79,445,PEN_MOVE
311,33,1625123637574,8.89,7.37,109,100,79,585,PEN_MOVE
311,33,1625123637585,8.93,7.31,109,100,79,618,PEN_MOVE
311,33,1625123637596,8.96,7.28,109,100,79,649,PEN_MOVE
311,33,1625123637621,9,7.26,108,100,79,657,PEN_MOVE
311,33,1625123637656,9.03,7.27,108,100,79,661,PEN_MOVE
311,33,1625123637690,9.06,7.31,107,100,79,682,PEN_MOVE
311,33,1625123637701,9.07,7.38,108,100,79,686,PEN_MOVE
311,33,1625123637714,9.08,7.49,105,94,79,690,PEN_MOVE
311,33,1625123637725,9.09,7.62,107,94,80,694,PEN_MOVE
311,33,1625123637736,9.11,7.75,105,94,80,695,PEN_MOVE
311,33,1625123637747,9.13,7.88,108,99,80,692,PEN_MOVE
311,33,1625123637758,9.15,8.02,103,100,80,691,PEN_MOVE
311,33,1625123637771,9.16,8.19,104,100,80,692,PEN_MOVE
311,33,1625123637782,9.17,8.36,105,101,80,698,PEN_MOVE
311,33,1625123637794,9.17,8.54,105,100,80,701,PEN_MOVE
311,33,1625123637806,9.17,8.74,104,101,80,702,PEN_MOVE
311,33,1625123637817,9.17,8.94,104,101,80,700,PEN_MOVE
311,33,1625123637828,9.17,9.1,103,102,80,696,PEN_MOVE
311,33,1625123637839,9.17,9.3,106,102,80,697,PEN_MOVE
311,33,1625123637850,9.17,9.47,106,104,80,699,PEN_MOVE
311,33,1625123637863,9.18,9.59,106,111,80,701,PEN_MOVE
311,33,1625123637875,9.18,9.65,106,111,80,699,PEN_MOVE
311,33,1625123637887,9.19,9.7,107,111,80,697,PEN_MOVE
311,33,1625123637898,9.2,9.75,106,111,80,696,PEN_MOVE
311,33,1625123637909,9.2,9.78,107,111,80,696,PEN_MOVE
311,33,1625123637979,9.23,9.8,105,111,80,698,PEN_MOVE
311,33,1625123638094,9.26,9.79,106,111,80,699,PEN_MOVE
311,33,1625123638118,9.31,9.79,106,104,80,702,PEN_MOVE
311,33,1625123638129,9.4,9.78,107,111,80,706,PEN_MOVE
311,33,1625123638142,9.48,9.78,106,112,80,706,PEN_MOVE
311,33,1625123638153,9.58,9.77,105,104,80,705,PEN_MOVE
311,33,1625123638164,9.66,9.75,105,103,80,704,PEN_MOVE
311,33,1625123638175,9.75,9.73,105,104,80,705,PEN_MOVE
311,33,1625123638186,9.83,9.71,106,103,80,710,PEN_MOVE
311,33,1625123638198,9.89,9.69,105,100,80,715,PEN_MOVE
311,33,1625123638209,9.94,9.68,107,101,80,718,PEN_MOVE
311,33,1625123638222,9.99,9.67,107,102,80,715,PEN_MOVE
311,33,1625123638234,10.02,9.66,106,100,80,712,PEN_MOVE
311,33,1625123638244,10.06,9.65,107,94,80,712,PEN_MOVE
311,33,1625123638255,10.11,9.64,106,100,80,714,PEN_MOVE
311,33,1625123638267,10.17,9.62,106,94,80,715,PEN_MOVE
311,33,1625123638279,10.22,9.61,106,94,80,714,PEN_MOVE
311,33,1625123638290,10.25,9.61,105,100,80,712,PEN_MOVE
311,33,1625123638314,10.28,9.6,104,100,80,669,PEN_MOVE
311,33,1625123638337,10.29,9.61,105,100,80,278,PEN_MOVE
311,33,1625123638348,10.3,9.68,105,101,80,6,PEN_MOVE
311,33,1625123638348,10.3,9.68,105,101,80,6,PEN_UP
311,33,1625123638613,12.48,8.92,105,112,82,471,PEN_DOWN
311,33,1625123638625,12.46,8.89,106,111,82,583,PEN_MOVE
311,33,1625123638637,12.44,8.84,106,111,82,606,PEN_MOVE
311,33,1625123638648,12.42,8.79,106,112,82,638,PEN_MOVE
311,33,1625123638659,12.4,8.74,106,112,82,661,PEN_MOVE
311,33,1625123638670,12.36,8.69,105,113,82,679,PEN_MOVE
311,33,1625123638681,12.31,8.62,106,112,82,694,PEN_MOVE
311,33,1625123638693,12.24,8.57,106,113,82,705,PEN_MOVE
311,33,1625123638706,12.17,8.52,107,114,82,708,PEN_MOVE
311,33,1625123638717,12.05,8.49,107,113,81,715,PEN_MOVE
311,33,1625123638729,11.97,8.46,105,112,81,720,PEN_MOVE
311,33,1625123638740,11.91,8.45,104,113,81,719,PEN_MOVE
311,33,1625123638751,11.85,8.44,103,112,81,716,PEN_MOVE
311,33,1625123638762,11.79,8.44,105,113,81,713,PEN_MOVE
311,33,1625123638774,11.72,8.44,105,113,81,710,PEN_MOVE
311,33,1625123638787,11.67,8.46,105,113,81,710,PEN_MOVE
311,33,1625123638798,11.61,8.49,105,113,81,711,PEN_MOVE
311,33,1625123638809,11.51,8.6,106,116,81,710,PEN_MOVE
311,33,1625123638821,11.37,8.87,104,125,81,708,PEN_MOVE
311,33,1625123638832,11.26,9.06,105,127,81,705,PEN_MOVE
311,33,1625123638843,11.2,9.24,103,126,81,704,PEN_MOVE
311,33,1625123638855,11.15,9.45,104,125,81,707,PEN_MOVE
311,33,1625123638867,11.11,9.63,103,124,81,710,PEN_MOVE
311,33,1625123638879,11.09,9.79,103,126,80,709,PEN_MOVE
311,33,1625123638890,11.09,9.89,103,116,80,707,PEN_MOVE
311,33,1625123638901,11.09,9.92,104,116,80,704,PEN_MOVE
311,33,1625123638925,11.12,9.93,103,124,80,706,PEN_MOVE
311,33,1625123638937,11.19,9.92,102,124,81,708,PEN_MOVE
311,33,1625123638948,11.32,9.88,106,124,81,706,PEN_MOVE
311,33,1625123638959,11.5,9.7,105,125,81,704,PEN_MOVE
311,33,1625123638971,11.69,9.47,105,124,81,700,PEN_MOVE
311,33,1625123638982,11.89,9.22,105,124,81,699,PEN_MOVE
311,33,1625123638994,12.03,8.98,102,116,81,700,PEN_MOVE
311,33,1625123639005,12.17,8.74,102,115,81,699,PEN_MOVE
311,33,1625123639017,12.26,8.53,104,115,82,691,PEN_MOVE
311,33,1625123639030,12.33,8.41,104,124,82,689,PEN_MOVE
311,33,1625123639041,12.39,8.3,106,126,82,688,PEN_MOVE
311,33,1625123639052,12.44,8.24,106,127,82,690,PEN_MOVE
311,33,1625123639064,12.47,8.22,106,126,82,693,PEN_MOVE
311,33,1625123639085,12.51,8.23,107,125,82,707,PEN_MOVE
311,33,1625123639099,12.53,8.26,104,116,82,711,PEN_MOVE
311,33,1625123639109,12.55,8.35,105,115,82,712,PEN_MOVE
311,33,1625123639122,12.57,8.52,103,116,82,717,PEN_MOVE
311,33,1625123639133,12.59,8.68,103,113,82,721,PEN_MOVE
311,33,1625123639145,12.63,8.89,103,112,82,730,PEN_MOVE
311,33,1625123639157,12.67,9.06,103,112,82,729,PEN_MOVE
311,33,1625123639168,12.7,9.23,103,111,82,727,PEN_MOVE
311,33,1625123639179,12.71,9.35,101,112,82,726,PEN_MOVE
311,33,1625123639190,12.72,9.51,104,112,82,727,PEN_MOVE
311,33,1625123639202,12.73,9.67,101,113,82,729,PEN_MOVE
311,33,1625123639213,12.74,9.77,102,114,82,729,PEN_MOVE
311,33,1625123639226,12.75,9.9,101,115,82,727,PEN_MOVE
311,33,1625123639237,12.76,9.99,101,116,82,723,PEN_MOVE
311,33,1625123639248,12.78,10.05,103,125,81,712,PEN_MOVE
311,33,1625123639272,12.81,10.07,102,115,82,588,PEN_MOVE
311,33,1625123639283,12.84,10.04,104,124,82,235,PEN_MOVE
311,33,1625123639283,12.84,10.04,104,124,82,235,PEN_UP
311,33,1625123639580,15.15,7.72,103,124,82,649,PEN_DOWN
311,33,1625123639613,15.2,7.74,106,125,82,686,PEN_MOVE
311,33,1625123639626,15.24,7.75,107,124,82,707,PEN_MOVE
311,33,1625123639637,15.29,7.77,107,115,82,720,PEN_MOVE
311,33,1625123639650,15.34,7.81,105,115,82,727,PEN_MOVE
311,33,1625123639661,15.38,7.91,105,114,83,735,PEN_MOVE
311,33,1625123639672,15.4,8.03,103,116,83,739,PEN_MOVE
311,33,1625123639683,15.42,8.21,105,124,83,747,PEN_MOVE
311,33,1625123639694,15.43,8.35,104,125,83,748,PEN_MOVE
311,33,1625123639705,15.43,8.58,104,125,83,747,PEN_MOVE
311,33,1625123639718,15.44,8.92,104,128,83,745,PEN_MOVE
311,33,1625123639730,15.45,9.29,102,128,82,744,PEN_MOVE
311,33,1625123639741,15.45,9.5,103,128,82,744,PEN_MOVE
311,33,1625123639752,15.45,9.73,101,129,82,746,PEN_MOVE
311,33,1625123639764,15.45,9.97,101,129,82,748,PEN_MOVE
311,33,1625123639775,15.44,10.11,101,128,82,746,PEN_MOVE
311,33,1625123639787,15.44,10.18,103,137,82,743,PEN_MOVE
311,33,1625123639799,15.44,10.21,103,137,82,740,PEN_MOVE
311,33,1625123639833,15.44,10.15,104,129,82,730,PEN_MOVE
311,33,1625123639844,15.45,10.01,103,137,82,725,PEN_MOVE
311,33,1625123639856,15.47,9.65,102,127,82,719,PEN_MOVE
311,33,1625123639868,15.64,9.22,103,140,83,710,PEN_MOVE
311,33,1625123639881,15.89,8.86,102,126,83,711,PEN_MOVE
311,33,1625123639892,16.1,8.49,104,127,83,712,PEN_MOVE
311,33,1625123639903,16.31,8.21,103,125,83,712,PEN_MOVE
311,33,1625123639913,16.48,7.98,106,125,83,711,PEN_MOVE
311,33,1625123639925,16.61,7.86,105,124,83,709,PEN_MOVE
