NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,33,1625123799754,12.16,30.18,81,173,9,487,PEN_DOWN
311,33,1625123799766,12.12,30.16,82,158,8,545,PEN_MOVE
311,33,1625123799778,12.08,30.15,79,175,8,568,PEN_MOVE
311,33,1625123799789,12.05,30.12,79,177,8,603,PEN_MOVE
311,33,1625123799801,12.04,30.07,82,174,8,627,PEN_MOVE
311,33,1625123799813,12.04,30.02,83,176,8,647,PEN_MOVE
311,33,1625123799825,12.04,29.98,83,175,8,663,PEN_MOVE
311,33,1625123799837,12.04,29.95,84,175,7,676,PEN_MOVE
311,33,1625123799941,12.02,29.98,85,127,6,726,PEN_MOVE
311,33,1625123799953,12.01,30.06,85,128,6,725,PEN_MOVE
311,33,1625123799964,12,30.37,85,131,6,723,PEN_MOVE
311,33,1625123799974,11.96,30.71,84,134,6,720,PEN_MOVE
311,33,1625123799985,11.91,31.05,80,133,6,718,PEN_MOVE
311,33,1625123799998,11.87,31.38,80,129,6,721,PEN_MOVE
311,33,1625123800009,11.84,31.7,78,178,6,722,PEN_MOVE
311,33,1625123800020,11.83,32.07,80,129,6,722,PEN_MOVE
311,33,1625123800033,11.82,32.49,79,130,7,720,PEN_MOVE
311,33,1625123800044,11.81,32.94,76,130,7,717,PEN_MOVE
311,33,1625123800055,11.8,33.27,77,130,7,716,PEN_MOVE
311,33,1625123800067,11.8,33.56,78,128,7,719,PEN_MOVE
311,33,1625123800079,11.8,33.79,77,129,7,720,PEN_MOVE
311,33,1625123800091,11.81,33.96,76,129,8,720,PEN_MOVE
311,33,1625123800103,11.82,34.01,76,129,8,716,PEN_MOVE
311,33,1625123800160,11.85,34.02,75,129,8,714,PEN_MOVE
311,33,1625123800207,11.89,34,76,129,8,703,PEN_MOVE
311,33,1625123800216,11.96,33.97,78,126,7,704,PEN_MOVE
311,33,1625123800229,12.15,33.92,78,130,7,702,PEN_MOVE
311,33,1625123800241,12.38,33.88,76,132,7,700,PEN_MOVE
311,33,1625123800252,12.68,33.83,79,133,7,697,PEN_MOVE
311,33,1625123800264,12.92,33.8,77,132,6,699,PEN_MOVE
311,33,1625123800275,13.11,33.78,80,131,6,702,PEN_MOVE
311,33,1625123800286,13.22,33.77,81,128,6,675,PEN_MOVE
311,33,1625123800297,13.3,33.78,80,129,6,620,PEN_MOVE
311,33,1625123800309,13.41,33.78,80,131,5,453,PEN_MOVE
311,33,1625123800321,13.48,33.79,80,132,5,4,PEN_MOVE
311,33,1625123800321,13.48,33.79,80,132,5,4,PEN_UP
311,33,1625123800710,13.99,33.24,78,131,10,420,PEN_DOWN
311,33,1625123800744,13.96,33.26,77,136,11,619,PEN_MOVE
311,33,1625123800802,14.01,33.25,78,135,10,641,PEN_MOVE
311,33,1625123800813,14.1,33.25,79,132,10,647,PEN_MOVE
311,33,1625123800825,14.26,33.25,76,135,10,650,PEN_MOVE
311,33,1625123800837,14.44,33.23,77,129,10,651,PEN_MOVE
311,33,1625123800848,14.64,33.19,77,132,9,647,PEN_MOVE
311,33,1625123800860,14.83,33.1,77,135,9,646,PEN_MOVE
311,33,1625123800872,14.97,32.99,78,137,9,646,PEN_MOVE
311,33,1625123800883,15.07,32.92,78,137,9,648,PEN_MOVE
311,33,1625123800892,15.12,32.88,77,137,9,647,PEN_MOVE
311,33,1625123800905,15.15,32.84,77,136,9,645,PEN_MOVE
311,33,1625123800916,15.18,32.78,77,136,9,642,PEN_MOVE
311,33,1625123800929,15.21,32.62,76,136,9,644,PEN_MOVE
311,33,1625123800941,15.24,32.35,69,135,9,647,PEN_MOVE
311,33,1625123800953,15.25,32.13,66,132,9,637,PEN_MOVE
311,33,1625123800964,15.24,32,65,132,9,632,PEN_MOVE
311,33,1625123800974,15.18,31.91,67,129,10,621,PEN_MOVE
311,33,1625123800985,15.03,31.88,65,129,10,618,PEN_MOVE
311,33,1625123800997,14.85,31.88,57,127,10,621,PEN_MOVE
311,33,1625123801010,14.71,31.9,66,128,10,633,PEN_MOVE
311,33,1625123801021,14.6,31.93,68,127,11,635,PEN_MOVE
311,33,1625123801033,14.48,32.04,75,127,11,652,PEN_MOVE
311,33,1625123801045,14.34,32.23,76,127,11,652,PEN_MOVE
311,33,1625123801056,14.18,32.47,76,125,11,664,PEN_MOVE
311,33,1625123801068,14.05,32.69,76,132,11,668,PEN_MOVE
311,33,1625123801080,13.97,32.9,77,135,10,670,PEN_MOVE
311,33,1625123801091,13.93,33.16,77,133,10,671,PEN_MOVE
311,33,1625123801102,13.92,33.38,75,129,10,667,PEN_MOVE
311,33,1625123801113,13.93,33.51,77,133,10,663,PEN_MOVE
311,33,1625123801127,13.98,33.64,77,125,10,661,PEN_MOVE
311,33,1625123801137,14.08,33.73,77,178,10,661,PEN_MOVE
311,33,1625123801147,14.24,33.82,77,126,9,661,PEN_MOVE
311,33,1625123801159,14.42,33.88,77,132,9,660,PEN_MOVE
311,33,1625123801171,14.65,33.94,76,136,8,658,PEN_MOVE
311,33,1625123801183,14.87,33.96,77,136,8,655,PEN_MOVE
311,33,1625123801195,15.15,33.93,77,136,8,653,PEN_MOVE
311,33,1625123801207,15.46,33.72,79,137,8,612,PEN_MOVE
311,33,1625123801218,15.67,33.42,80,137,7,427,PEN_MOVE
311,33,1625123801229,15.78,33.14,81,141,7,7,PEN_MOVE
311,33,1625123801229,15.78,33.14,81,141,7,7,PEN_UP
311,33,1625123801541,16.83,32.11,76,138,10,508,PEN_DOWN
311,33,1625123801554,16.8,32.08,77,139,10,569,PEN_MOVE
311,33,1625123801565,16.77,32.06,75,141,10,590,PEN_MOVE
311,33,1625123801576,16.75,32.03,77,141,10,629,PEN_MOVE
311,33,1625123801588,16.74,32,77,140,10,645,PEN_MOVE
311,33,1625123801599,16.71,31.99,76,140,10,656,PEN_MOVE
311,33,1625123801611,16.67,31.97,78,139,10,668,PEN_MOVE
311,33,1625123801623,16.61,31.98,78,139,10,664,PEN_MOVE
311,33,1625123801633,16.54,32.01,77,140,10,671,PEN_MOVE
311,33,1625123801644,16.48,32.04,78,138,10,673,PEN_MOVE
311,33,1625123801655,16.42,32.09,77,138,10,676,PEN_MOVE
311,33,1625123801667,16.34,32.2,77,137,11,675,PEN_MOVE
311,33,1625123801679,16.24,32.42,77,140,11,672,PEN_MOVE
311,33,1625123801691,16.15,32.67,76,138,11,669,PEN_MOVE
311,33,1625123801703,16.08,32.89,75,140,11,668,PEN_MOVE
311,33,1625123801715,16.03,33.12,77,136,11,670,PEN_MOVE
311,33,1625123801725,16.02,33.38,78,138,11,671,PEN_MOVE
311,33,1625123801736,16.02,33.66,77,135,11,671,PEN_MOVE
311,33,1625123801749,16.04,33.95,69,129,11,668,PEN_MOVE
311,33,1625123801760,16.09,34.09,76,130,11,665,PEN_MOVE
