NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,34,1625124304466,8.3,39.67,112,67,24,411,PEN_DOWN
311,34,1625124304477,8.34,39.68,109,69,24,431,PEN_MOVE
311,34,1625124304525,8.31,39.66,112,72,24,477,PEN_MOVE
311,34,1625124304606,8.27,39.64,114,73,23,570,PEN_MOVE
311,34,1625124304814,8.26,39.64,108,70,23,625,PEN_MOVE
311,34,1625124305022,8.25,39.63,110,68,24,634,PEN_MOVE
311,34,1625124305174,8.27,39.6,114,74,24,666,PEN_MOVE
311,34,1625124305194,8.33,39.55,115,74,24,668,PEN_MOVE
311,34,1625124305206,8.37,39.5,115,74,24,666,PEN_MOVE
311,34,1625124305218,8.4,39.47,135,74,24,664,PEN_MOVE
311,34,1625124305241,8.43,39.42,135,75,24,663,PEN_MOVE
311,34,1625124305252,8.45,39.39,136,76,24,666,PEN_MOVE
311,34,1625124305263,8.47,39.36,136,75,24,666,PEN_MOVE
311,34,1625124305287,8.51,39.32,115,78,24,662,PEN_MOVE
311,34,1625124305298,8.53,39.29,135,76,24,661,PEN_MOVE
311,34,1625124305310,8.56,39.27,136,77,24,662,PEN_MOVE
311,34,1625124305335,8.6,39.24,136,78,24,665,PEN_MOVE
311,34,1625124305369,8.62,39.2,136,77,24,661,PEN_MOVE
311,34,1625124305392,8.64,39.16,137,74,24,665,PEN_MOVE
311,34,1625124305403,8.67,39.12,136,75,24,664,PEN_MOVE
311,34,1625124305414,8.69,39.09,135,77,24,664,PEN_MOVE
311,34,1625124305426,8.71,39.04,136,78,24,660,PEN_MOVE
311,34,1625124305450,8.74,38.95,136,75,24,662,PEN_MOVE
311,34,1625124305461,8.77,38.89,114,76,24,664,PEN_MOVE
311,34,1625124305473,8.8,38.82,135,74,24,664,PEN_MOVE
311,34,1625124305484,8.82,38.78,115,75,24,662,PEN_MOVE
311,34,1625124305496,8.81,38.74,112,70,24,660,PEN_MOVE
311,34,1625124305519,8.84,38.72,135,74,23,662,PEN_MOVE
311,34,1625124305542,8.87,38.7,135,75,24,664,PEN_MOVE
311,34,1625124305577,8.9,38.67,135,75,24,660,PEN_MOVE
311,34,1625124305611,8.89,38.64,113,75,23,664,PEN_MOVE
311,34,1625124305646,8.91,38.54,110,71,23,660,PEN_MOVE
311,34,1625124305669,8.97,38.37,111,70,23,664,PEN_MOVE
