NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,37,1625125546385,7.48,10.42,135,142,69,333,PEN_DOWN
311,37,1625125546418,7.52,10.41,135,139,69,423,PEN_MOVE
311,37,1625125546455,7.55,10.38,135,138,69,435,PEN_MOVE
311,37,1625125546477,7.57,10.34,136,141,69,445,PEN_MOVE
311,37,1625125546489,7.59,10.3,135,141,69,443,PEN_MOVE
311,37,1625125546500,7.6,10.23,137,142,69,441,PEN_MOVE
311,37,1625125546511,7.61,10.18,137,154,69,439,PEN_MOVE
311,37,1625125546523,7.62,10.11,138,155,69,443,PEN_MOVE
311,37,1625125546534,7.64,10.01,140,155,69,447,PEN_MOVE
311,37,1625125546545,7.68,9.9,140,156,69,450,PEN_MOVE
311,37,1625125546557,7.72,9.8,140,172,69,465,PEN_MOVE
311,37,1625125546569,7.78,9.65,141,172,70,498,PEN_MOVE
311,37,1625125546581,7.87,9.46,143,157,70,502,PEN_MOVE
311,37,1625125546594,7.96,9.31,143,171,70,502,PEN_MOVE
311,37,1625125546605,8.01,9.2,143,175,70,505,PEN_MOVE
311,37,1625125546616,8.1,9.1,142,154,70,508,PEN_MOVE
311,37,1625125546627,8.14,9.01,142,153,70,515,PEN_MOVE
311,37,1625125546637,8.16,8.92,144,155,70,518,PEN_MOVE
311,37,1625125546650,8.2,8.79,146,141,70,519,PEN_MOVE
311,37,1625125546661,8.24,8.66,146,142,70,520,PEN_MOVE
311,37,1625125546673,8.29,8.55,145,141,70,520,PEN_MOVE
311,37,1625125546684,8.32,8.43,146,153,70,518,PEN_MOVE
311,37,1625125546695,8.37,8.28,148,155,70,517,PEN_MOVE
311,37,1625125546709,8.41,8.14,150,157,71,516,PEN_MOVE
311,37,1625125546720,8.48,8.05,150,154,70,516,PEN_MOVE
311,37,1625125546731,8.54,7.95,149,141,71,517,PEN_MOVE
311,37,1625125546743,8.57,7.86,150,153,71,517,PEN_MOVE
311,37,1625125546754,8.6,7.81,150,153,71,516,PEN_MOVE
311,37,1625125546765,8.61,7.77,151,155,71,515,PEN_MOVE
311,37,1625125546779,8.62,7.73,152,157,71,515,PEN_MOVE
311,37,1625125546789,8.63,7.7,151,157,71,515,PEN_MOVE
311,37,1625125546801,8.66,7.68,150,155,71,517,PEN_MOVE
311,37,1625125546812,8.7,7.62,151,142,71,518,PEN_MOVE
311,37,1625125546823,8.73,7.55,150,143,71,518,PEN_MOVE
311,37,1625125546834,8.77,7.47,151,137,71,518,PEN_MOVE
311,37,1625125546846,8.79,7.42,151,139,71,517,PEN_MOVE
311,37,1625125546858,8.8,7.37,151,141,71,523,PEN_MOVE
311,37,1625125546870,8.81,7.33,152,142,71,558,PEN_MOVE
311,37,1625125546881,8.82,7.27,151,141,71,589,PEN_MOVE
311,37,1625125546892,8.83,7.19,154,138,71,586,PEN_MOVE
311,37,1625125546904,8.84,7.13,154,139,71,581,PEN_MOVE
311,37,1625125546915,8.86,7.09,151,141,72,580,PEN_MOVE
311,37,1625125546928,8.86,7.06,152,143,72,580,PEN_MOVE
311,37,1625125546950,8.86,7.03,152,141,72,583,PEN_MOVE
311,37,1625125547125,8.88,7.07,156,153,72,563,PEN_MOVE
311,37,1625125547136,8.89,7.11,156,143,72,563,PEN_MOVE
311,37,1625125547147,8.92,7.21,154,142,72,565,PEN_MOVE
311,37,1625125547159,8.99,7.34,154,155,72,565,PEN_MOVE
311,37,1625125547170,9.09,7.48,150,157,72,563,PEN_MOVE
