NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,34,1625124618246,9.67,56.94,111,175,79,411,PEN_DOWN
311,34,1625124618270,9.7,56.94,114,174,79,475,PEN_MOVE
311,34,1625124618293,9.76,56.98,135,158,79,575,PEN_MOVE
311,34,1625124618306,9.8,57.03,114,155,79,586,PEN_MOVE
311,34,1625124618318,9.84,57.09,115,156,79,592,PEN_MOVE
311,34,1625124618329,9.88,57.13,114,154,79,601,PEN_MOVE
311,34,1625124618351,9.92,57.15,137,155,79,635,PEN_MOVE
311,34,1625124618387,9.95,57.14,140,154,78,655,PEN_MOVE
311,34,1625124618398,9.97,57.11,141,142,78,663,PEN_MOVE
311,34,1625124618409,10,57.01,142,154,78,667,PEN_MOVE
311,34,1625124618420,10.06,56.78,145,158,78,667,PEN_MOVE
311,34,1625124618432,10.17,56.58,146,172,78,669,PEN_MOVE
311,34,1625124618444,10.25,56.46,145,157,78,667,PEN_MOVE
311,34,1625124618455,10.32,56.3,145,153,78,664,PEN_MOVE
311,34,1625124618467,10.39,56.08,146,142,78,666,PEN_MOVE
311,34,1625124618478,10.48,55.86,143,143,78,668,PEN_MOVE
311,34,1625124618490,10.56,55.7,144,142,78,668,PEN_MOVE
311,34,1625124618501,10.59,55.61,145,153,78,667,PEN_MOVE
311,34,1625124618513,10.61,55.51,145,152,78,665,PEN_MOVE
311,34,1625124618525,10.63,55.41,146,153,78,667,PEN_MOVE
311,34,1625124618537,10.64,55.35,146,154,78,675,PEN_MOVE
311,34,1625124618549,10.65,55.31,149,154,78,677,PEN_MOVE
311,34,1625124618561,10.66,55.23,149,155,78,676,PEN_MOVE
311,34,1625124618572,10.67,55.14,149,155,78,674,PEN_MOVE
311,34,1625124618583,10.68,55.09,148,153,78,673,PEN_MOVE
311,34,1625124618593,10.7,55.05,148,153,78,672,PEN_MOVE
311,34,1625124618605,10.71,54.97,148,154,78,676,PEN_MOVE
311,34,1625124618617,10.73,54.9,147,154,78,680,PEN_MOVE
311,34,1625124618629,10.73,54.83,150,141,78,682,PEN_MOVE
311,34,1625124618654,10.74,54.8,150,142,78,682,PEN_MOVE
311,34,1625124618734,10.76,54.83,149,154,78,679,PEN_MOVE
311,34,1625124618744,10.77,54.86,153,153,78,680,PEN_MOVE
311,34,1625124618755,10.78,54.91,153,153,78,681,PEN_MOVE
311,34,1625124618766,10.78,54.99,154,142,78,680,PEN_MOVE
311,34,1625124618779,10.8,55.07,152,154,78,678,PEN_MOVE
311,34,1625124618790,10.84,55.15,151,153,78,677,PEN_MOVE
311,34,1625124618802,10.88,55.24,152,156,78,678,PEN_MOVE
311,34,1625124618815,10.94,55.39,152,154,78,682,PEN_MOVE
