NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,5,1623916420061,12.67,54.39,97,129,87,429,PEN_DOWN
311,5,1623916420084,12.7,54.37,97,126,87,548,PEN_MOVE
311,5,1623916420107,12.75,54.35,98,127,87,612,PEN_MOVE
311,5,1623916420118,12.78,54.34,99,177,87,625,PEN_MOVE
311,5,1623916420131,12.81,54.33,99,178,87,626,PEN_MOVE
311,5,1623916420153,12.86,54.32,99,178,87,638,PEN_MOVE
311,5,1623916420165,12.9,54.29,98,126,87,651,PEN_MOVE
311,5,1623916420176,12.95,54.25,98,125,87,664,PEN_MOVE
311,5,1623916420187,12.99,54.18,100,127,87,674,PEN_MOVE
311,5,1623916420198,13.03,54.11,100,127,87,679,PEN_MOVE
311,5,1623916420210,13.08,54.03,100,125,87,682,PEN_MOVE
311,5,1623916420222,13.13,53.96,99,126,87,685,PEN_MOVE
311,5,1623916420235,13.18,53.88,100,126,87,691,PEN_MOVE
311,5,1623916420246,13.23,53.82,99,128,87,693,PEN_MOVE
311,5,1623916420257,13.28,53.78,99,128,87,693,PEN_MOVE
311,5,1623916420269,13.32,53.71,101,126,87,690,PEN_MOVE
311,5,1623916420280,13.37,53.64,100,127,88,687,PEN_MOVE
311,5,1623916420293,13.42,53.6,100,177,88,687,PEN_MOVE
311,5,1623916420304,13.46,53.56,99,176,88,691,PEN_MOVE
311,5,1623916420316,13.51,53.5,99,174,88,696,PEN_MOVE
311,5,1623916420327,13.58,53.39,100,175,88,696,PEN_MOVE
311,5,1623916420337,13.64,53.29,99,176,88,694,PEN_MOVE
311,5,1623916420349,13.71,53.17,99,175,88,690,PEN_MOVE
311,5,1623916420361,13.76,53.06,99,176,88,690,PEN_MOVE
311,5,1623916420373,13.83,52.95,99,176,88,692,PEN_MOVE
311,5,1623916420385,13.89,52.83,99,177,88,693,PEN_MOVE
311,5,1623916420397,13.96,52.72,99,174,88,692,PEN_MOVE
311,5,1623916420409,14,52.66,98,175,88,689,PEN_MOVE
311,5,1623916420420,14.04,52.61,97,175,88,687,PEN_MOVE
311,5,1623916420431,14.08,52.55,98,125,88,688,PEN_MOVE
311,5,1623916420442,14.11,52.5,97,125,88,691,PEN_MOVE
311,5,1623916420453,14.14,52.44,98,177,88,691,PEN_MOVE
311,5,1623916420465,14.19,52.37,97,177,88,690,PEN_MOVE
311,5,1623916420477,14.23,52.32,97,177,88,687,PEN_MOVE
311,5,1623916420490,14.27,52.29,96,176,88,685,PEN_MOVE
311,5,1623916420500,14.3,52.22,98,175,88,687,PEN_MOVE
311,5,1623916420511,14.34,52.17,98,173,88,689,PEN_MOVE
311,5,1623916420522,14.37,52.14,98,173,88,689,PEN_MOVE
311,5,1623916420535,14.39,52.1,98,174,88,689,PEN_MOVE
311,5,1623916420546,14.41,52.07,98,173,88,686,PEN_MOVE
311,5,1623916420557,14.43,52.03,98,174,88,685,PEN_MOVE
311,5,1623916420569,14.45,52,98,173,88,685,PEN_MOVE
311,5,1623916420581,14.46,51.97,98,174,88,688,PEN_MOVE
311,5,1623916420604,14.48,51.94,99,176,88,688,PEN_MOVE
311,5,1623916420697,14.5,51.97,98,172,88,687,PEN_MOVE
311,5,1623916420708,14.5,52,98,159,88,689,PEN_MOVE
311,5,1623916420719,14.5,52.07,98,173,88,693,PEN_MOVE
311,5,1623916420731,14.5,52.17,98,172,88,697,PEN_MOVE
311,5,1623916420742,14.5,52.31,98,172,88,700,PEN_MOVE
311,5,1623916420753,14.5,52.49,98,174,88,700,PEN_MOVE
311,5,1623916420765,14.5,52.65,98,173,88,705,PEN_MOVE
