NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,18,1623913945362,36.01,69.77,102,101,67,606,PEN_DOWN
311,18,1623913945386,36.04,69.77,105,99,67,643,PEN_MOVE
311,18,1623913945409,36.08,69.77,104,93,67,647,PEN_MOVE
311,18,1623913945433,36.14,69.77,105,94,67,648,PEN_MOVE
311,18,1623913945444,36.2,69.76,105,100,67,647,PEN_MOVE
311,18,1623913945456,36.26,69.75,105,101,67,648,PEN_MOVE
311,18,1623913945467,36.29,69.74,106,100,67,651,PEN_MOVE
311,18,1623913945477,36.32,69.72,106,100,67,659,PEN_MOVE
311,18,1623913945490,36.35,69.7,105,100,67,666,PEN_MOVE
311,18,1623913945501,36.37,69.67,105,100,67,665,PEN_MOVE
311,18,1623913945524,36.43,69.62,105,92,67,659,PEN_MOVE
311,18,1623913945536,36.51,69.55,105,92,67,660,PEN_MOVE
311,18,1623913945547,36.64,69.4,105,91,67,663,PEN_MOVE
311,18,1623913945558,36.78,69.19,105,91,67,665,PEN_MOVE
311,18,1623913945569,36.92,68.98,105,89,67,664,PEN_MOVE
311,18,1623913945581,37.05,68.81,104,89,67,661,PEN_MOVE
311,18,1623913945593,37.2,68.66,106,85,67,661,PEN_MOVE
311,18,1623913945605,37.39,68.56,102,86,67,661,PEN_MOVE
311,18,1623913945618,37.57,68.48,106,85,67,663,PEN_MOVE
311,18,1623913945629,37.74,68.38,102,84,67,664,PEN_MOVE
311,18,1623913945640,37.9,68.28,106,85,67,664,PEN_MOVE
311,18,1623913945650,38.03,68.19,102,84,67,662,PEN_MOVE
311,18,1623913945662,38.13,68.12,103,85,67,659,PEN_MOVE
311,18,1623913945674,38.23,68.08,104,86,67,660,PEN_MOVE
311,18,1623913945686,38.28,68.05,104,84,67,663,PEN_MOVE
311,18,1623913945697,38.31,68.02,105,84,67,664,PEN_MOVE
311,18,1623913945709,38.34,68,104,85,67,662,PEN_MOVE
311,18,1623913945721,38.37,67.98,104,86,67,659,PEN_MOVE
311,18,1623913945754,38.4,67.96,104,86,67,662,PEN_MOVE
311,18,1623913945813,38.42,68.04,104,85,67,667,PEN_MOVE
311,18,1623913945824,38.45,68.26,104,82,67,675,PEN_MOVE
