NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,16,1623913754911,17.59,42.19,105,62,67,510,PEN_DOWN
311,16,1623913754981,17.62,42.18,106,63,67,653,PEN_MOVE
311,16,1623913754993,17.65,42.16,105,63,67,661,PEN_MOVE
311,16,1623913755003,17.67,42.13,106,64,68,666,PEN_MOVE
311,16,1623913755013,17.68,42.09,107,66,68,669,PEN_MOVE
311,16,1623913755024,17.7,42.03,106,62,68,673,PEN_MOVE
311,16,1623913755038,17.75,41.87,107,63,68,680,PEN_MOVE
311,16,1623913755049,17.8,41.7,107,62,68,697,PEN_MOVE
311,16,1623913755062,17.88,41.54,106,64,68,703,PEN_MOVE
311,16,1623913755073,17.91,41.39,107,64,68,708,PEN_MOVE
311,16,1623913755083,17.98,40.98,107,60,68,705,PEN_MOVE
311,16,1623913755093,18.1,40.6,107,61,68,711,PEN_MOVE
311,16,1623913755106,18.22,40.21,106,59,68,714,PEN_MOVE
311,16,1623913755118,18.31,39.88,106,59,68,717,PEN_MOVE
311,16,1623913755130,18.4,39.58,105,59,68,719,PEN_MOVE
311,16,1623913755140,18.45,39.43,105,58,68,721,PEN_MOVE
311,16,1623913755152,18.49,39.2,106,56,68,718,PEN_MOVE
311,16,1623913755163,18.53,39.02,105,55,68,719,PEN_MOVE
311,16,1623913755175,18.56,38.93,105,56,68,732,PEN_MOVE
311,16,1623913755186,18.57,38.86,105,53,68,733,PEN_MOVE
311,16,1623913755198,18.58,38.71,105,37,68,732,PEN_MOVE
311,16,1623913755210,18.6,38.55,105,54,68,730,PEN_MOVE
311,16,1623913755223,18.61,38.48,105,53,68,727,PEN_MOVE
311,16,1623913755234,18.61,38.45,105,54,68,726,PEN_MOVE
311,16,1623913755350,18.62,38.42,105,55,68,726,PEN_MOVE
311,16,1623913755465,18.63,38.45,107,54,68,723,PEN_MOVE
311,16,1623913755500,18.63,38.48,108,57,68,709,PEN_MOVE
311,16,1623913755510,18.63,38.51,108,56,68,710,PEN_MOVE
311,16,1623913755522,18.62,38.55,108,56,68,711,PEN_MOVE
311,16,1623913755534,18.62,38.68,105,59,68,711,PEN_MOVE
311,16,1623913755544,18.62,38.85,105,60,68,708,PEN_MOVE
311,16,1623913755556,18.62,39.01,106,60,68,705,PEN_MOVE
311,16,1623913755568,18.63,39.12,106,62,68,702,PEN_MOVE
311,16,1623913755582,18.63,39.2,106,61,69,702,PEN_MOVE
311,16,1623913755592,18.64,39.29,107,64,68,703,PEN_MOVE
311,16,1623913755603,18.65,39.47,106,64,68,704,PEN_MOVE
311,16,1623913755615,18.66,39.79,105,61,68,701,PEN_MOVE
311,16,1623913755626,18.67,40.03,107,65,68,698,PEN_MOVE
311,16,1623913755638,18.67,40.35,108,65,68,697,PEN_MOVE
311,16,1623913755650,18.68,40.73,108,65,68,697,PEN_MOVE
311,16,1623913755660,18.7,41.07,107,68,68,698,PEN_MOVE
311,16,1623913755671,18.75,41.26,106,68,68,697,PEN_MOVE
311,16,1623913755683,18.8,41.32,107,66,68,694,PEN_MOVE
311,16,1623913755694,18.83,41.35,107,66,68,689,PEN_MOVE
311,16,1623913755731,18.88,41.37,107,68,68,687,PEN_MOVE
311,16,1623913755742,18.92,41.38,107,69,68,686,PEN_MOVE
311,16,1623913755754,18.99,41.4,107,70,68,683,PEN_MOVE
311,16,1623913755765,19.09,41.43,108,70,68,679,PEN_MOVE
311,16,1623913755777,19.2,41.46,108,70,68,673,PEN_MOVE
311,16,1623913755789,19.34,41.47,107,71,68,673,PEN_MOVE
311,16,1623913755800,19.49,41.45,108,71,68,675,PEN_MOVE
311,16,1623913755811,19.64,41.4,107,70,68,673,PEN_MOVE
311,16,1623913755823,19.79,41.24,108,69,68,672,PEN_MOVE
311,16,1623913755833,19.93,41.05,107,68,68,669,PEN_MOVE
311,16,1623913755846,20.04,40.87,107,66,69,671,PEN_MOVE
311,16,1623913755856,20.14,40.7,107,66,69,674,PEN_MOVE
311,16,1623913755868,20.2,40.56,106,67,69,676,PEN_MOVE
311,16,1623913755880,20.25,40.41,106,64,69,675,PEN_MOVE
311,16,1623913755893,20.3,40.25,106,66,69,673,PEN_MOVE
311,16,1623913755904,20.36,40.09,106,63,68,672,PEN_MOVE
311,16,1623913755915,20.42,39.88,108,63,69,673,PEN_MOVE
311,16,1623913755926,20.49,39.66,105,65,69,676,PEN_MOVE
311,16,1623913755938,20.55,39.42,105,62,69,676,PEN_MOVE
311,16,1623913755949,20.62,39.22,109,64,69,675,PEN_MOVE
311,16,1623913755961,20.65,39.07,108,61,69,672,PEN_MOVE
311,16,1623913755973,20.68,38.91,108,61,69,673,PEN_MOVE
311,16,1623913755985,20.71,38.77,107,63,69,673,PEN_MOVE
311,16,1623913755997,20.74,38.65,107,62,69,677,PEN_MOVE
311,16,1623913756008,20.77,38.56,108,64,69,677,PEN_MOVE
311,16,1623913756019,20.79,38.51,107,61,69,675,PEN_MOVE
311,16,1623913756029,20.8,38.48,107,60,69,673,PEN_MOVE
311,16,1623913756042,20.81,38.45,107,59,69,671,PEN_MOVE
311,16,1623913756147,20.8,38.52,108,61,69,665,PEN_MOVE
311,16,1623913756158,20.78,38.65,108,62,69,665,PEN_MOVE
311,16,1623913756169,20.74,38.89,109,61,69,661,PEN_MOVE
311,16,1623913756180,20.69,39.14,109,59,69,662,PEN_MOVE
311,16,1623913756191,20.62,39.41,106,64,69,664,PEN_MOVE
311,16,1623913756203,20.57,39.7,106,61,69,666,PEN_MOVE
311,16,1623913756214,20.5,39.95,107,63,69,665,PEN_MOVE
311,16,1623913756227,20.44,40.24,108,63,69,663,PEN_MOVE
311,16,1623913756238,20.42,40.45,106,65,69,661,PEN_MOVE
311,16,1623913756250,20.41,40.69,106,64,69,661,PEN_MOVE
311,16,1623913756261,20.41,40.96,107,64,69,665,PEN_MOVE
311,16,1623913756274,20.42,41.17,106,64,69,665,PEN_MOVE
311,16,1623913756285,20.43,41.34,106,64,69,664,PEN_MOVE
311,16,1623913756296,20.44,41.42,107,66,69,661,PEN_MOVE
311,16,1623913756307,20.46,41.53,107,65,69,659,PEN_MOVE
311,16,1623913756318,20.5,41.65,107,66,69,659,PEN_MOVE
311,16,1623913756331,20.56,41.78,108,67,69,662,PEN_MOVE
311,16,1623913756341,20.64,41.91,108,65,69,663,PEN_MOVE
311,16,1623913756353,20.71,42.03,108,66,69,661,PEN_MOVE
311,16,1623913756365,20.82,42.15,108,66,69,659,PEN_MOVE
311,16,1623913756377,20.89,42.19,109,65,69,658,PEN_MOVE
311,16,1623913756389,20.96,42.21,108,67,69,637,PEN_MOVE
311,16,1623913756401,21,42.21,108,65,69,642,PEN_MOVE
311,16,1623913756413,21.08,42.2,107,67,69,644,PEN_MOVE
311,16,1623913756424,21.21,42.15,107,66,69,644,PEN_MOVE
311,16,1623913756435,21.35,42.04,107,65,69,641,PEN_MOVE
311,16,1623913756446,21.45,41.92,107,65,69,639,PEN_MOVE
311,16,1623913756458,21.54,41.85,106,64,69,619,PEN_MOVE
311,16,1623913756469,21.65,41.79,109,64,69,568,PEN_MOVE
311,16,1623913756481,21.7,41.75,108,64,69,401,PEN_MOVE
311,16,1623913756493,21.74,41.73,108,65,69,162,PEN_MOVE
311,16,1623913756493,21.74,41.73,108,65,69,162,PEN_UP
311,16,1623913756665,23.15,40.08,105,65,70,409,PEN_DOWN
311,16,1623913756676,23.16,40,106,66,70,490,PEN_MOVE
311,16,1623913756688,23.17,39.91,106,63,70,512,PEN_MOVE
311,16,1623913756698,23.16,39.82,107,64,70,564,PEN_MOVE
311,16,1623913756710,23.15,39.77,107,65,70,603,PEN_MOVE
311,16,1623913756721,23.11,39.73,106,64,70,623,PEN_MOVE
311,16,1623913756733,23.01,39.71,106,66,70,646,PEN_MOVE
311,16,1623913756745,22.88,39.71,107,66,69,655,PEN_MOVE
311,16,1623913756758,22.79,39.72,108,65,69,650,PEN_MOVE
311,16,1623913756768,22.67,39.75,105,64,69,647,PEN_MOVE
311,16,1623913756779,22.56,39.81,105,64,69,647,PEN_MOVE
311,16,1623913756790,22.51,39.88,105,64,69,649,PEN_MOVE
311,16,1623913756803,22.42,40.02,105,63,69,649,PEN_MOVE
311,16,1623913756814,22.29,40.25,106,64,69,646,PEN_MOVE
311,16,1623913756827,22.21,40.48,106,66,69,645,PEN_MOVE
311,16,1623913756836,22.15,40.71,108,66,69,642,PEN_MOVE
311,16,1623913756847,22.12,40.97,109,63,69,642,PEN_MOVE
311,16,1623913756859,22.11,41.23,108,65,69,644,PEN_MOVE
311,16,1623913756870,22.13,41.46,109,64,69,645,PEN_MOVE
311,16,1623913756882,22.2,41.65,108,66,69,644,PEN_MOVE
311,16,1623913756894,22.33,41.8,109,66,69,641,PEN_MOVE
311,16,1623913756906,22.43,41.89,109,66,69,640,PEN_MOVE
311,16,1623913756919,22.5,41.93,110,65,69,642,PEN_MOVE
311,16,1623913756929,22.58,41.94,110,68,69,645,PEN_MOVE
311,16,1623913756942,22.69,41.94,109,67,69,646,PEN_MOVE
311,16,1623913756952,22.81,41.93,108,65,69,646,PEN_MOVE
311,16,1623913756964,22.95,41.89,107,68,69,643,PEN_MOVE
311,16,1623913756976,23.08,41.79,108,65,69,643,PEN_MOVE
311,16,1623913756987,23.19,41.63,108,65,69,645,PEN_MOVE
311,16,1623913756999,23.29,41.49,107,68,69,647,PEN_MOVE
311,16,1623913757010,23.34,41.34,107,68,69,648,PEN_MOVE
311,16,1623913757021,23.38,41.2,106,67,69,646,PEN_MOVE
311,16,1623913757034,23.41,41.01,106,65,69,644,PEN_MOVE
311,16,1623913757045,23.43,40.85,106,64,69,643,PEN_MOVE
311,16,1623913757058,23.44,40.7,106,64,69,645,PEN_MOVE
311,16,1623913757068,23.44,40.55,106,64,69,647,PEN_MOVE
311,16,1623913757080,23.44,40.39,109,66,69,647,PEN_MOVE
311,16,1623913757091,23.45,40.23,105,63,69,645,PEN_MOVE
311,16,1623913757101,23.46,40.12,108,64,69,642,PEN_MOVE
311,16,1623913757115,23.46,40.01,107,65,69,643,PEN_MOVE
311,16,1623913757125,23.46,39.94,108,65,69,644,PEN_MOVE
