NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,21,1623912744493,12.54,51.36,107,69,65,412,PEN_DOWN
311,21,1623912744517,12.58,51.33,107,65,65,536,PEN_MOVE
311,21,1623912744542,12.62,51.29,108,66,66,602,PEN_MOVE
311,21,1623912744553,12.64,51.26,108,66,66,617,PEN_MOVE
311,21,1623912744565,12.67,51.22,109,66,66,635,PEN_MOVE
311,21,1623912744575,12.73,51.14,107,67,66,646,PEN_MOVE
311,21,1623912744585,12.8,51.03,107,68,66,650,PEN_MOVE
311,21,1623912744597,12.85,50.94,107,67,66,653,PEN_MOVE
311,21,1623912744610,12.9,50.86,107,65,66,653,PEN_MOVE
311,21,1623912744621,12.96,50.76,106,67,66,656,PEN_MOVE
311,21,1623912744633,13.02,50.64,106,65,66,655,PEN_MOVE
311,21,1623912744645,13.06,50.54,106,65,66,657,PEN_MOVE
311,21,1623912744657,13.11,50.42,105,64,66,660,PEN_MOVE
311,21,1623912744668,13.18,50.25,105,64,66,663,PEN_MOVE
311,21,1623912744679,13.27,50.03,105,66,66,668,PEN_MOVE
311,21,1623912744689,13.34,49.91,108,66,66,666,PEN_MOVE
311,21,1623912744701,13.39,49.77,105,64,66,664,PEN_MOVE
311,21,1623912744714,13.46,49.62,105,68,66,666,PEN_MOVE
311,21,1623912744726,13.51,49.5,107,64,66,670,PEN_MOVE
311,21,1623912744737,13.56,49.36,106,65,66,677,PEN_MOVE
311,21,1623912744747,13.63,49.21,106,66,66,679,PEN_MOVE
311,21,1623912744758,13.68,49.11,106,65,66,676,PEN_MOVE
311,21,1623912744771,13.73,49.04,103,61,66,675,PEN_MOVE
311,21,1623912744782,13.75,48.97,107,63,66,678,PEN_MOVE
311,21,1623912744795,13.76,48.92,106,64,66,681,PEN_MOVE
311,21,1623912744806,13.77,48.89,107,63,66,686,PEN_MOVE
311,21,1623912744933,13.79,48.96,107,65,66,699,PEN_MOVE
311,21,1623912744946,13.8,49.08,108,63,66,699,PEN_MOVE
311,21,1623912744957,13.8,49.23,108,66,66,696,PEN_MOVE
311,21,1623912744969,13.84,49.42,108,64,66,694,PEN_MOVE
311,21,1623912744980,13.9,49.63,106,65,66,695,PEN_MOVE
311,21,1623912744991,13.95,49.89,109,64,66,696,PEN_MOVE
311,21,1623912745001,14,50.19,105,65,66,696,PEN_MOVE
311,21,1623912745013,14.06,50.42,105,63,66,695,PEN_MOVE
311,21,1623912745026,14.11,50.62,105,66,66,693,PEN_MOVE
311,21,1623912745037,14.17,50.81,106,68,66,691,PEN_MOVE
311,21,1623912745049,14.21,50.99,106,65,66,691,PEN_MOVE
311,21,1623912745061,14.26,51.14,106,66,66,693,PEN_MOVE
311,21,1623912745072,14.3,51.24,107,67,66,694,PEN_MOVE
311,21,1623912745083,14.33,51.3,107,65,66,693,PEN_MOVE
311,21,1623912745093,14.36,51.34,107,67,66,690,PEN_MOVE
311,21,1623912745106,14.37,51.37,107,65,66,689,PEN_MOVE
311,21,1623912745130,14.4,51.37,106,68,66,692,PEN_MOVE
311,21,1623912745174,14.42,51.34,106,65,66,694,PEN_MOVE
311,21,1623912745187,14.43,51.31,107,67,66,697,PEN_MOVE
311,21,1623912745198,14.45,51.23,107,66,66,699,PEN_MOVE
311,21,1623912745210,14.51,51.04,107,67,66,706,PEN_MOVE
311,21,1623912745222,14.59,50.83,106,67,66,706,PEN_MOVE
311,21,1623912745234,14.7,50.54,105,66,66,702,PEN_MOVE
311,21,1623912745245,14.78,50.27,105,64,66,702,PEN_MOVE
311,21,1623912745256,14.83,50.1,108,63,66,704,PEN_MOVE
311,21,1623912745267,14.89,49.85,107,65,66,707,PEN_MOVE
311,21,1623912745278,15,49.49,107,63,66,707,PEN_MOVE
311,21,1623912745290,15.08,49.26,108,64,66,704,PEN_MOVE
311,21,1623912745303,15.15,49.09,106,66,66,702,PEN_MOVE
311,21,1623912745314,15.19,48.98,106,66,66,701,PEN_MOVE
311,21,1623912745326,15.22,48.85,105,65,66,702,PEN_MOVE
311,21,1623912745337,15.24,48.74,105,65,66,652,PEN_MOVE
311,21,1623912745349,15.24,48.71,103,64,66,279,PEN_MOVE
311,21,1623912745349,15.24,48.71,103,64,66,279,PEN_UP
311,21,1623912745748,16.25,51.34,105,67,66,520,PEN_DOWN
311,21,1623912745759,16.19,51.35,105,68,66,571,PEN_MOVE
311,21,1623912745771,16.13,51.34,106,67,66,606,PEN_MOVE
311,21,1623912745782,16.1,51.32,105,66,66,627,PEN_MOVE
311,21,1623912745795,16.04,51.26,105,68,66,637,PEN_MOVE
311,21,1623912745805,15.97,51.1,106,67,66,640,PEN_MOVE
311,21,1623912745817,15.91,50.89,105,70,66,647,PEN_MOVE
311,21,1623912745828,15.87,50.71,107,66,66,653,PEN_MOVE
311,21,1623912745840,15.85,50.53,106,68,66,656,PEN_MOVE
311,21,1623912745852,15.84,50.32,105,68,66,657,PEN_MOVE
311,21,1623912745863,15.84,50.08,107,66,66,654,PEN_MOVE
311,21,1623912745874,15.87,49.89,105,67,66,650,PEN_MOVE
311,21,1623912745887,15.94,49.71,108,65,66,650,PEN_MOVE
311,21,1623912745898,16.03,49.55,108,66,66,651,PEN_MOVE
311,21,1623912745909,16.14,49.4,109,64,66,652,PEN_MOVE
311,21,1623912745921,16.22,49.33,105,66,66,651,PEN_MOVE
311,21,1623912745932,16.36,49.27,109,67,66,650,PEN_MOVE
311,21,1623912745943,16.52,49.24,108,67,66,647,PEN_MOVE
311,21,1623912745955,16.65,49.25,108,63,67,645,PEN_MOVE
311,21,1623912745967,16.8,49.3,107,64,67,647,PEN_MOVE
311,21,1623912745978,16.89,49.48,109,66,67,650,PEN_MOVE
311,21,1623912745990,16.98,49.73,108,66,66,652,PEN_MOVE
311,21,1623912746001,17.06,49.95,108,65,66,654,PEN_MOVE
311,21,1623912746013,17.11,50.18,108,67,66,652,PEN_MOVE
311,21,1623912746026,17.15,50.39,108,67,66,657,PEN_MOVE
311,21,1623912746036,17.17,50.6,107,66,66,663,PEN_MOVE
311,21,1623912746049,17.17,50.79,107,67,66,674,PEN_MOVE
311,21,1623912746060,17.14,50.9,107,68,66,693,PEN_MOVE
311,21,1623912746072,17.09,50.99,107,69,66,699,PEN_MOVE
311,21,1623912746083,16.96,51.08,108,69,66,703,PEN_MOVE
311,21,1623912746093,16.74,51.18,108,68,66,701,PEN_MOVE
311,21,1623912746105,16.52,51.25,105,68,66,704,PEN_MOVE
311,21,1623912746117,16.29,51.27,106,67,66,704,PEN_MOVE
311,21,1623912746129,16.12,51.25,105,66,66,694,PEN_MOVE
311,21,1623912746142,15.97,51.16,106,65,66,657,PEN_MOVE
311,21,1623912746152,15.86,50.94,107,67,66,552,PEN_MOVE
311,21,1623912746163,15.84,50.66,107,66,66,218,PEN_MOVE
311,21,1623912746163,15.84,50.66,107,66,66,218,PEN_UP
311,21,1623912746431,17.89,50.2,107,68,67,555,PEN_DOWN
311,21,1623912746453,17.94,50.18,106,68,67,578,PEN_MOVE
311,21,1623912746466,18.02,50.17,106,68,67,575,PEN_MOVE
311,21,1623912746477,18.19,50.15,105,66,67,586,PEN_MOVE
311,21,1623912746490,18.38,50.1,105,67,67,591,PEN_MOVE
311,21,1623912746499,18.58,50.02,104,67,67,593,PEN_MOVE
311,21,1623912746510,18.81,49.9,103,69,67,591,PEN_MOVE
311,21,1623912746522,18.96,49.77,103,68,67,588,PEN_MOVE
311,21,1623912746534,19.09,49.67,107,70,67,587,PEN_MOVE
311,21,1623912746546,19.17,49.58,106,72,67,587,PEN_MOVE
311,21,1623912746558,19.2,49.5,107,69,67,590,PEN_MOVE
311,21,1623912746570,19.21,49.44,107,70,67,603,PEN_MOVE
311,21,1623912746580,19.21,49.4,107,70,67,616,PEN_MOVE
311,21,1623912746591,19.21,49.37,107,71,67,629,PEN_MOVE
311,21,1623912746615,19.11,49.36,104,66,67,643,PEN_MOVE
311,21,1623912746627,18.96,49.36,105,66,67,643,PEN_MOVE
311,21,1623912746638,18.84,49.36,105,68,67,652,PEN_MOVE
311,21,1623912746650,18.74,49.38,104,67,67,664,PEN_MOVE
311,21,1623912746661,18.61,49.42,105,66,67,664,PEN_MOVE
311,21,1623912746673,18.46,49.48,106,66,67,664,PEN_MOVE
311,21,1623912746684,18.35,49.54,106,66,67,679,PEN_MOVE
311,21,1623912746696,18.27,49.6,105,65,67,680,PEN_MOVE
311,21,1623912746708,18.17,49.69,106,65,67,680,PEN_MOVE
311,21,1623912746719,18.07,49.8,106,65,67,679,PEN_MOVE
311,21,1623912746730,17.98,49.91,107,68,67,676,PEN_MOVE
311,21,1623912746742,17.93,50.03,107,67,67,675,PEN_MOVE
311,21,1623912746753,17.89,50.2,106,65,67,681,PEN_MOVE
311,21,1623912746764,17.86,50.43,107,66,67,683,PEN_MOVE
311,21,1623912746778,17.82,50.69,106,65,67,682,PEN_MOVE
311,21,1623912746789,17.8,50.96,104,67,67,679,PEN_MOVE
311,21,1623912746800,17.81,51.11,103,65,67,676,PEN_MOVE
311,21,1623912746812,17.83,51.18,103,66,67,675,PEN_MOVE
311,21,1623912746824,17.87,51.25,104,69,67,675,PEN_MOVE
311,21,1623912746835,17.94,51.3,104,68,67,677,PEN_MOVE
311,21,1623912746846,18.03,51.32,103,70,67,674,PEN_MOVE
311,21,1623912746857,18.17,51.33,104,70,67,672,PEN_MOVE
311,21,1623912746869,18.4,51.33,107,72,67,633,PEN_MOVE
311,21,1623912746881,18.62,51.32,107,72,67,509,PEN_MOVE
311,21,1623912746894,18.86,51.29,106,73,67,10,PEN_MOVE
311,21,1623912746894,18.86,51.29,106,73,67,10,PEN_UP
311,21,1623912747209,20.02,51.47,107,79,67,494,PEN_DOWN
311,21,1623912747231,20.05,51.34,104,76,67,603,PEN_MOVE
311,21,1623912747242,20.08,51.21,103,75,67,621,PEN_MOVE
311,21,1623912747253,20.11,51.03,104,76,67,635,PEN_MOVE
311,21,1623912747266,20.15,50.8,104,75,67,644,PEN_MOVE
311,21,1623912747276,20.2,50.52,105,74,67,647,PEN_MOVE
311,21,1623912747288,20.26,50.24,105,73,67,648,PEN_MOVE
311,21,1623912747300,20.31,50.01,105,71,67,649,PEN_MOVE
311,21,1623912747312,20.4,49.82,107,71,67,656,PEN_MOVE
311,21,1623912747324,20.43,49.7,103,72,67,659,PEN_MOVE
311,21,1623912747335,20.44,49.63,104,71,67,658,PEN_MOVE
311,21,1623912747357,20.46,49.6,104,72,67,655,PEN_MOVE
311,21,1623912747394,20.47,49.67,104,74,67,664,PEN_MOVE
311,21,1623912747405,20.46,49.87,106,71,67,673,PEN_MOVE
