NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,8,1622702937501,4.84,10.16,112,25,59,369,PEN_DOWN
311,8,1622702937570,4.87,10.17,112,27,59,453,PEN_MOVE
311,8,1622702937687,4.89,10.13,112,27,59,451,PEN_MOVE
311,8,1622702937698,4.92,10.03,109,27,59,456,PEN_MOVE
311,8,1622702937709,4.98,9.89,111,25,59,456,PEN_MOVE
311,8,1622702937722,5.04,9.8,113,27,59,456,PEN_MOVE
311,8,1622702937733,5.09,9.7,112,28,59,455,PEN_MOVE
311,8,1622702937744,5.14,9.56,113,26,59,454,PEN_MOVE
311,8,1622702937755,5.19,9.39,109,58,60,460,PEN_MOVE
311,8,1622702937767,5.24,9.2,109,27,60,472,PEN_MOVE
311,8,1622702937779,5.28,8.99,112,56,60,501,PEN_MOVE
311,8,1622702937791,5.34,8.76,110,31,60,555,PEN_MOVE
311,8,1622702937803,5.4,8.58,112,32,60,551,PEN_MOVE
311,8,1622702937814,5.46,8.38,110,30,60,549,PEN_MOVE
311,8,1622702937825,5.52,8.23,109,30,60,548,PEN_MOVE
311,8,1622702937836,5.56,8.11,109,31,60,547,PEN_MOVE
311,8,1622702937848,5.6,8.04,108,29,60,546,PEN_MOVE
311,8,1622702937860,5.62,8,107,30,60,546,PEN_MOVE
311,8,1622702937872,5.64,7.98,108,29,60,544,PEN_MOVE
311,8,1622702937905,5.66,7.95,108,30,60,541,PEN_MOVE
311,8,1622702937965,5.69,8.04,107,28,60,559,PEN_MOVE
311,8,1622702937977,5.7,8.28,107,31,60,573,PEN_MOVE
311,8,1622702937987,5.72,8.64,108,34,60,580,PEN_MOVE
311,8,1622702937997,5.76,9.02,109,32,60,582,PEN_MOVE
311,8,1622702938010,5.79,9.43,109,31,59,579,PEN_MOVE
311,8,1622702938021,5.81,9.76,112,39,59,575,PEN_MOVE
311,8,1622702938033,5.86,9.95,109,38,59,572,PEN_MOVE
311,8,1622702938045,5.91,10.1,110,37,59,573,PEN_MOVE
311,8,1622702938057,5.95,10.19,109,38,59,569,PEN_MOVE
311,8,1622702938068,5.98,10.21,109,37,59,519,PEN_MOVE
311,8,1622702938091,5.98,10.19,108,35,58,194,PEN_MOVE
311,8,1622702938091,5.98,10.19,108,35,58,194,PEN_UP
311,8,1622702938290,5.4,8.62,106,27,58,451,PEN_DOWN
311,8,1622702938301,5.43,8.61,106,22,58,429,PEN_MOVE
311,8,1622702938324,5.49,8.67,106,37,58,414,PEN_MOVE
311,8,1622702938335,5.58,8.73,106,29,58,412,PEN_MOVE
311,8,1622702938347,5.69,8.82,106,30,58,402,PEN_MOVE
311,8,1622702938359,5.78,8.9,108,28,58,149,PEN_MOVE
311,8,1622702938359,5.78,8.9,108,28,58,149,PEN_UP
311,8,1622702938627,6.71,8.89,104,30,57,434,PEN_DOWN
311,8,1622702938661,6.71,8.97,107,30,57,408,PEN_MOVE
311,8,1622702938673,6.71,9.09,106,30,57,423,PEN_MOVE
311,8,1622702938685,6.71,9.31,107,31,57,433,PEN_MOVE
311,8,1622702938696,6.7,9.58,106,58,57,438,PEN_MOVE
311,8,1622702938708,6.68,9.83,105,32,57,453,PEN_MOVE
311,8,1622702938720,6.66,9.99,106,33,57,448,PEN_MOVE
311,8,1622702938731,6.65,10.09,106,35,57,446,PEN_MOVE
311,8,1622702938741,6.65,10.13,107,33,57,439,PEN_MOVE
311,8,1622702938765,6.71,10.09,106,33,57,455,PEN_MOVE
311,8,1622702938776,6.8,9.98,107,34,57,455,PEN_MOVE
311,8,1622702938789,6.93,9.82,107,30,57,458,PEN_MOVE
311,8,1622702938801,7.07,9.7,104,27,57,458,PEN_MOVE
311,8,1622702938813,7.21,9.61,103,29,56,456,PEN_MOVE
311,8,1622702938824,7.38,9.48,106,30,56,432,PEN_MOVE
311,8,1622702938835,7.61,9.3,104,30,55,116,PEN_MOVE
311,8,1622702938835,7.61,9.3,104,30,55,116,PEN_UP
311,8,1622702939047,8.03,7.68,102,28,55,409,PEN_DOWN
311,8,1622702939059,8.02,7.71,104,27,56,407,PEN_MOVE
311,8,1622702939070,8.02,7.74,104,31,56,399,PEN_MOVE
311,8,1622702939081,8.03,7.85,106,30,56,407,PEN_MOVE
311,8,1622702939093,8.03,8.04,104,29,56,407,PEN_MOVE
311,8,1622702939105,8.04,8.22,103,28,56,408,PEN_MOVE
311,8,1622702939117,8.06,8.44,104,32,56,413,PEN_MOVE
311,8,1622702939128,8.12,8.67,104,31,56,414,PEN_MOVE
311,8,1622702939141,8.2,8.85,104,30,56,407,PEN_MOVE
311,8,1622702939152,8.3,9,104,31,56,392,PEN_MOVE
311,8,1622702939163,8.4,9.09,104,30,55,111,PEN_MOVE
311,8,1622702939163,8.4,9.09,104,30,55,111,PEN_UP
311,8,1622702939393,7.74,8.32,103,31,56,457,PEN_DOWN
