NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,12,1622703761889,9.46,6.64,109,138,68,442,PEN_DOWN
311,12,1622703761958,9.49,6.65,109,137,68,574,PEN_MOVE
311,12,1622703761982,9.5,6.68,111,136,68,618,PEN_MOVE
311,12,1622703761993,9.51,6.72,110,136,68,640,PEN_MOVE
311,12,1622703762005,9.51,6.85,111,136,68,646,PEN_MOVE
311,12,1622703762017,9.52,6.98,111,136,68,655,PEN_MOVE
311,12,1622703762028,9.53,7.09,110,133,68,651,PEN_MOVE
311,12,1622703762039,9.54,7.26,110,135,67,652,PEN_MOVE
311,12,1622703762050,9.56,7.48,110,136,67,654,PEN_MOVE
311,12,1622703762062,9.58,7.7,107,137,67,668,PEN_MOVE
311,12,1622703762073,9.6,7.84,107,134,67,665,PEN_MOVE
311,12,1622703762085,9.63,8.07,110,136,67,665,PEN_MOVE
311,12,1622703762096,9.65,8.33,110,137,67,670,PEN_MOVE
311,12,1622703762109,9.67,8.51,110,138,67,671,PEN_MOVE
311,12,1622703762122,9.7,8.7,109,138,67,672,PEN_MOVE
311,12,1622703762131,9.73,8.91,110,141,67,672,PEN_MOVE
311,12,1622703762142,9.75,9.02,109,141,67,669,PEN_MOVE
311,12,1622703762155,9.77,9.19,109,141,67,666,PEN_MOVE
311,12,1622703762166,9.78,9.3,110,140,67,664,PEN_MOVE
311,12,1622703762178,9.8,9.39,110,141,67,666,PEN_MOVE
311,12,1622703762189,9.81,9.48,110,140,67,665,PEN_MOVE
311,12,1622703762201,9.82,9.54,110,140,67,657,PEN_MOVE
311,12,1622703762213,9.83,9.6,110,144,67,602,PEN_MOVE
311,12,1622703762224,9.87,9.67,109,142,67,468,PEN_MOVE
311,12,1622703762235,10,9.73,106,147,67,59,PEN_MOVE
311,12,1622703762235,10,9.73,106,147,67,59,PEN_UP
311,12,1622703762594,9.72,8.68,108,145,67,443,PEN_DOWN
311,12,1622703762721,9.72,8.66,106,139,67,618,PEN_MOVE
311,12,1622703762756,9.75,8.67,106,138,68,621,PEN_MOVE
