NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,26,1622706621607,11.48,10.48,106,127,85,217,PEN_DOWN
311,26,1622706621617,11.48,10.45,106,127,85,289,PEN_MOVE
311,26,1622706621629,11.47,10.42,106,129,85,345,PEN_MOVE
311,26,1622706621640,11.47,10.38,105,128,85,369,PEN_MOVE
311,26,1622706621652,11.48,10.34,105,129,85,407,PEN_MOVE
311,26,1622706621676,11.49,10.29,104,127,85,477,PEN_MOVE
311,26,1622706621687,11.5,10.26,104,127,85,495,PEN_MOVE
311,26,1622706621709,11.52,10.23,104,127,85,501,PEN_MOVE
311,26,1622706621746,11.55,10.26,104,127,85,521,PEN_MOVE
311,26,1622706621757,11.57,10.32,105,126,85,573,PEN_MOVE
311,26,1622706621768,11.58,10.43,104,127,85,573,PEN_MOVE
311,26,1622706621779,11.6,10.62,103,127,85,574,PEN_MOVE
311,26,1622706621791,11.62,10.82,107,128,85,584,PEN_MOVE
311,26,1622706621802,11.64,10.97,107,128,85,582,PEN_MOVE
311,26,1622706621813,11.66,11.14,107,127,85,579,PEN_MOVE
311,26,1622706621825,11.68,11.26,106,128,85,578,PEN_MOVE
311,26,1622706621837,11.69,11.36,106,127,85,580,PEN_MOVE
311,26,1622706621849,11.7,11.47,105,129,85,581,PEN_MOVE
311,26,1622706621861,11.71,11.65,103,130,86,595,PEN_MOVE
311,26,1622706621873,11.72,11.83,103,131,86,599,PEN_MOVE
311,26,1622706621884,11.73,12.11,103,131,86,597,PEN_MOVE
311,26,1622706621895,11.74,12.39,103,131,86,600,PEN_MOVE
311,26,1622706621905,11.75,12.54,106,133,86,603,PEN_MOVE
311,26,1622706621919,11.76,12.58,105,132,86,604,PEN_MOVE
311,26,1622706621941,11.77,12.61,106,133,86,601,PEN_MOVE
311,26,1622706622056,11.77,12.6,104,136,86,135,PEN_MOVE
311,26,1622706622056,11.77,12.6,104,136,86,135,PEN_UP
311,26,1622706622545,11.5,10.42,103,131,87,327,PEN_DOWN
311,26,1622706622580,11.47,10.41,102,134,87,453,PEN_MOVE
311,26,1622706622592,11.48,10.38,101,134,87,499,PEN_MOVE
311,26,1622706622604,11.48,10.33,102,134,87,557,PEN_MOVE
311,26,1622706622627,11.48,10.3,103,133,87,614,PEN_MOVE
311,26,1622706622696,11.52,10.27,104,131,87,619,PEN_MOVE
311,26,1622706622719,11.58,10.26,104,132,87,623,PEN_MOVE
311,26,1622706622729,11.62,10.25,103,132,87,621,PEN_MOVE
311,26,1622706622742,11.68,10.24,104,134,87,619,PEN_MOVE
311,26,1622706622753,11.77,10.22,104,133,87,617,PEN_MOVE
311,26,1622706622764,11.87,10.19,104,131,87,617,PEN_MOVE
311,26,1622706622776,11.94,10.16,106,131,87,619,PEN_MOVE
311,26,1622706622787,12.03,10.15,105,129,87,620,PEN_MOVE
311,26,1622706622799,12.15,10.14,105,130,87,620,PEN_MOVE
311,26,1622706622809,12.25,10.15,106,128,87,617,PEN_MOVE
311,26,1622706622821,12.33,10.16,105,129,87,615,PEN_MOVE
311,26,1622706622834,12.39,10.17,102,127,87,615,PEN_MOVE
311,26,1622706622845,12.44,10.19,102,128,87,615,PEN_MOVE
311,26,1622706622858,12.48,10.22,102,127,86,615,PEN_MOVE
311,26,1622706622869,12.51,10.24,102,128,86,614,PEN_MOVE
311,26,1622706622891,12.55,10.28,102,127,86,609,PEN_MOVE
311,26,1622706622902,12.57,10.33,102,128,86,609,PEN_MOVE
311,26,1622706622914,12.61,10.44,102,129,86,612,PEN_MOVE
311,26,1622706622925,12.67,10.62,102,129,86,612,PEN_MOVE
311,26,1622706622939,12.73,10.79,105,129,86,611,PEN_MOVE
311,26,1622706622948,12.76,10.88,106,130,86,609,PEN_MOVE
311,26,1622706622961,12.77,10.93,106,131,86,610,PEN_MOVE
311,26,1622706622972,12.78,10.97,105,130,86,624,PEN_MOVE
311,26,1622706622983,12.78,11.01,106,131,86,629,PEN_MOVE
311,26,1622706622994,12.78,11.07,106,131,86,630,PEN_MOVE
311,26,1622706623006,12.78,11.17,105,130,86,628,PEN_MOVE
311,26,1622706623018,12.77,11.3,105,130,86,626,PEN_MOVE
311,26,1622706623030,12.76,11.39,102,130,86,625,PEN_MOVE
311,26,1622706623041,12.76,11.44,105,133,86,627,PEN_MOVE
311,26,1622706623064,12.74,11.47,105,131,86,655,PEN_MOVE
311,26,1622706623088,12.71,11.48,105,131,86,660,PEN_MOVE
