NotepadID,Page,Timestamp,X,Y,TiltX,TiltY,Twist,Force,DotType
311,25,1622706467074,9.4,16.04,108,99,67,395,PEN_DOWN
311,25,1622706467086,9.39,15.98,108,103,67,449,PEN_MOVE
311,25,1622706467098,9.38,15.91,109,101,67,463,PEN_MOVE
311,25,1622706467109,9.38,15.82,109,103,67,477,PEN_MOVE
311,25,1622706467121,9.37,15.72,110,100,67,489,PEN_MOVE
311,25,1622706467132,9.37,15.61,109,94,67,492,PEN_MOVE
311,25,1622706467143,9.37,15.5,109,101,67,498,PEN_MOVE
311,25,1622706467155,9.37,15.38,108,94,67,507,PEN_MOVE
311,25,1622706467166,9.38,15.28,108,91,67,505,PEN_MOVE
311,25,1622706467179,9.39,15.19,108,93,67,504,PEN_MOVE
311,25,1622706467190,9.4,15.13,108,94,67,507,PEN_MOVE
311,25,1622706467201,9.4,15.09,108,93,67,510,PEN_MOVE
311,25,1622706467213,9.41,15.04,109,93,67,516,PEN_MOVE
311,25,1622706467226,9.4,14.96,108,100,67,526,PEN_MOVE
311,25,1622706467237,9.4,14.87,109,101,67,537,PEN_MOVE
311,25,1622706467248,9.41,14.76,108,100,67,541,PEN_MOVE
311,25,1622706467259,9.41,14.63,107,94,67,551,PEN_MOVE
311,25,1622706467271,9.42,14.52,107,91,67,564,PEN_MOVE
311,25,1622706467282,9.42,14.39,108,90,67,564,PEN_MOVE
311,25,1622706467293,9.42,14.31,108,90,67,568,PEN_MOVE
311,25,1622706467305,9.42,14.19,108,88,67,569,PEN_MOVE
311,25,1622706467317,9.42,14.07,108,91,67,571,PEN_MOVE
311,25,1622706467329,9.41,13.99,109,91,67,575,PEN_MOVE
311,25,1622706467342,9.39,13.92,110,92,67,575,PEN_MOVE
311,25,1622706467352,9.38,13.86,109,88,67,574,PEN_MOVE
311,25,1622706467363,9.37,13.8,109,87,67,576,PEN_MOVE
311,25,1622706467374,9.36,13.71,110,89,67,575,PEN_MOVE
311,25,1622706467385,9.34,13.64,110,90,67,577,PEN_MOVE
